#{"t_start": 1758298201.557458, "env_id": "None"}
r,l,t
25.0,25,1.111095
55.0,55,1.218518
14.0,14,1.22654
26.0,26,1.241028
14.0,14,1.252924
37.0,37,1.273643
15.0,15,1.28203
21.0,21,1.297605
13.0,13,1.307716
13.0,13,1.315154
12.0,12,1.321993
65.0,65,1.362058
38.0,38,1.387079
26.0,26,1.404168
15.0,15,1.41645
27.0,27,1.431565
19.0,19,1.44216
60.0,60,1.488366
20.0,20,1.50727
17.0,17,1.516862
28.0,28,1.532488
19.0,19,1.547087
8.0,8,1.551597
18.0,18,1.561669
22.0,22,1.576169
26.0,26,1.595165
21.0,21,1.605493
22.0,22,1.618881
24.0,24,1.634005
41.0,41,1.6539
25.0,25,1.66927
12.0,12,1.675075
10.0,10,1.679927
21.0,21,1.690144
24.0,24,1.70517
22.0,22,1.719886
16.0,16,1.728816
31.0,31,1.750255
16.0,16,1.758035
13.0,13,1.76436
34.0,34,1.784191
17.0,17,1.794562
30.0,30,1.821687
19.0,19,1.830884
45.0,45,1.856262
50.0,50,1.880351
15.0,15,1.891101
61.0,61,1.928594
15.0,15,1.935821
15.0,15,1.943072
22.0,22,1.953758
22.0,22,1.967904
38.0,38,1.986222
16.0,16,1.997391
28.0,28,2.010996
45.0,45,2.038576
22.0,22,2.049059
16.0,16,2.0568
65.0,65,2.091077
23.0,23,2.105493
27.0,27,2.118442
14.0,14,2.127689
11.0,11,2.136421
22.0,22,2.14695
15.0,15,2.154162
33.0,33,2.173297
21.0,21,2.183293
14.0,14,2.189982
38.0,38,2.211461
15.0,15,2.218656
19.0,19,2.230369
24.0,24,2.245242
19.0,19,2.254276
21.0,21,2.269581
37.0,37,2.293053
17.0,17,2.301381
23.0,23,2.312625
11.0,11,2.321332
18.0,18,2.334812
12.0,12,2.340866
15.0,15,2.348096
18.0,18,2.360377
19.0,19,2.369566
14.0,14,2.376377
56.0,56,2.406653
26.0,26,2.419292
11.0,11,2.427953
15.0,15,2.437685
34.0,34,2.454198
28.0,28,2.471124
77.0,77,2.511396
17.0,17,2.51954
13.0,13,2.525868
22.0,22,2.542135
21.0,21,2.552183
14.0,14,2.558924
17.0,17,2.574537
17.0,17,2.586775
19.0,19,2.600855
10.0,10,2.608182
21.0,21,2.630198
25.0,25,2.650934
42.0,42,2.67662
16.0,16,2.684528
45.0,45,2.709797
21.0,21,2.719864
59.0,59,2.755078
16.0,16,2.763052
12.0,12,2.769116
42.0,42,2.793402
14.0,14,2.800358
24.0,24,2.815739
20.0,20,2.8256
19.0,19,2.835046
28.0,28,2.85459
15.0,15,2.861786
14.0,14,2.868571
23.0,23,2.879626
20.0,20,2.892699
31.0,31,2.907557
41.0,41,2.930446
57.0,57,2.971499
21.0,21,2.981685
19.0,19,2.990855
17.0,17,3.002458
34.0,34,3.018661
37.0,37,3.039698
17.0,17,3.047811
21.0,21,3.061495
36.0,36,3.082133
19.0,19,3.091271
28.0,28,3.107963
15.0,15,3.115162
25.0,25,3.127099
49.0,49,3.156309
13.0,13,3.162663
13.0,13,3.168967
15.0,15,3.17962
23.0,23,3.190582
27.0,27,3.206919
13.0,13,3.213176
14.0,14,3.219887
80.0,80,3.263851
16.0,16,3.271611
22.0,22,3.28561
38.0,38,3.303741
11.0,11,3.312417
25.0,25,3.324357
21.0,21,3.334393
42.0,42,3.360106
16.0,16,3.367774
24.0,24,3.382663
47.0,47,3.405079
34.0,34,3.424652
22.0,22,3.435131
14.0,14,3.441911
16.0,16,3.452905
18.0,18,3.463896
59.0,59,3.495767
27.0,27,3.508614
16.0,16,3.516364
34.0,34,3.535882
29.0,29,3.549767
21.0,21,3.565509
13.0,13,3.57178
15.0,15,3.578926
37.0,37,3.599997
44.0,44,3.624314
20.0,20,3.633883
38.0,38,3.651942
27.0,27,3.670652
14.0,14,3.677368
33.0,33,3.696539
14.0,14,3.703259
27.0,27,3.716098
26.0,26,3.731884
16.0,16,3.739528
20.0,20,3.749052
45.0,45,3.776325
16.0,16,3.783992
60.0,60,3.815931
21.0,21,3.825976
19.0,19,3.838446
38.0,38,3.856473
34.0,34,3.878543
37.0,37,3.896129
23.0,23,3.910494
13.0,13,3.916697
21.0,21,3.926679
15.0,15,3.93723
16.0,16,3.944891
16.0,16,3.952502
24.0,24,3.963976
40.0,40,3.988786
15.0,15,3.996004
15.0,15,4.003289
14.0,14,4.013385
50.0,50,4.037187
21.0,21,4.348597
18.0,18,4.357393
19.0,19,4.366761
21.0,21,4.385531
21.0,21,4.397121
13.0,13,4.404342
22.0,22,4.420696
43.0,43,4.441356
20.0,20,4.454356
47.0,47,4.476891
98.0,98,4.53304
28.0,28,4.546442
82.0,82,4.595093
26.0,26,4.607557
25.0,25,4.619656
48.0,48,4.645843
20.0,20,4.655449
21.0,21,4.668873
14.0,14,4.675569
19.0,19,4.684644
37.0,37,4.708162
42.0,42,4.731537
11.0,11,4.736861
27.0,27,4.749712
16.0,16,4.757399
19.0,19,4.769962
34.0,34,4.786139
15.0,15,4.795709
13.0,13,4.805414
51.0,51,4.829724
22.0,22,4.843606
92.0,92,4.890866
12.0,12,4.899065
78.0,78,4.943121
16.0,16,4.950792
35.0,35,4.967526
20.0,20,4.980536
29.0,29,4.994337
15.0,15,5.004026
24.0,24,5.018934
27.0,27,5.03181
18.0,18,5.040439
14.0,14,5.050527
20.0,20,5.060068
15.0,15,5.067253
11.0,11,5.07264
51.0,51,5.102625
39.0,39,5.128418
25.0,25,5.140357
41.0,41,5.163353
19.0,19,5.172442
57.0,57,5.20565
36.0,36,5.226295
32.0,32,5.241584
27.0,27,5.257896
22.0,22,5.268427
50.0,50,5.295612
9.0,9,5.299947
79.0,79,5.3434
25.0,25,5.355311
9.0,9,5.363004
16.0,16,5.370675
15.0,15,5.377867
35.0,35,5.39791
21.0,21,5.410344
18.0,18,5.418939
77.0,77,5.458856
42.0,42,5.482278
22.0,22,5.492741
17.0,17,5.504305
20.0,20,5.516608
41.0,41,5.539924
12.0,12,5.545691
15.0,15,5.55286
17.0,17,5.560986
44.0,44,5.585329
23.0,23,5.596426
62.0,62,5.631883
23.0,23,5.646364
47.0,47,5.668684
17.0,17,5.680221
17.0,17,5.688328
19.0,19,5.697377
43.0,43,5.723693
84.0,84,5.767013
19.0,19,5.779501
27.0,27,5.792374
56.0,56,5.824724
20.0,20,5.834277
33.0,33,5.853384
35.0,35,5.870029
35.0,35,5.890122
39.0,39,5.908669
20.0,20,5.924066
12.0,12,5.929821
44.0,44,5.954152
14.0,14,5.960855
35.0,35,5.977532
25.0,25,5.992924
14.0,14,5.99965
14.0,14,6.006363
19.0,19,6.015504
22.0,22,6.032152
84.0,84,6.075509
12.0,12,6.081295
20.0,20,6.094239
32.0,32,6.109486
18.0,18,6.118067
21.0,21,6.133944
16.0,16,6.141595
12.0,12,6.147358
73.0,73,6.185409
27.0,27,6.201721
22.0,22,6.21221
105.0,105,6.271301
15.0,15,6.278502
35.0,35,6.295258
18.0,18,6.307286
51.0,51,6.337369
32.0,32,6.352646
15.0,15,6.359855
48.0,48,6.386273
29.0,29,6.405195
54.0,54,6.444282
42.0,42,6.468917
18.0,18,6.477588
59.0,59,6.509745
36.0,36,6.530575
52.0,52,6.561505
28.0,28,6.57487
45.0,45,6.599788
20.0,20,6.609348
24.0,24,6.620841
11.0,11,6.629566
35.0,35,6.648592
10.0,10,6.653402
44.0,44,6.67781
19.0,19,6.686886
18.0,18,6.698911
58.0,58,6.726528
19.0,19,6.741367
38.0,38,6.759728
51.0,51,6.787463
63.0,63,6.820803
13.0,13,6.827064
77.0,77,6.872883
17.0,17,6.881043
38.0,38,6.899172
51.0,51,6.92684
43.0,43,6.953984
43.0,43,6.97801
50.0,50,7.001907
80.0,80,7.047012
85.0,85,7.324377
17.0,17,7.332677
15.0,15,7.339963
13.0,13,7.349866
19.0,19,7.35899
17.0,17,7.369582
27.0,27,7.385957
16.0,16,7.393647
36.0,36,7.410853
77.0,77,7.454267
71.0,71,7.493817
24.0,24,7.505286
22.0,22,7.515761
22.0,22,7.529756
17.0,17,7.537901
37.0,37,7.558941
16.0,16,7.568873
26.0,26,7.581255
27.0,27,7.597597
15.0,15,7.604792
19.0,19,7.613865
31.0,31,7.632071
22.0,22,7.642562
39.0,39,7.664496
12.0,12,7.672729
42.0,42,7.69277
34.0,34,7.712395
60.0,60,7.744365
13.0,13,7.750602
40.0,40,7.775281
29.0,29,7.789123
35.0,35,7.809257
73.0,73,7.847549
14.0,14,7.85428
32.0,32,7.875486
10.0,10,7.880314
31.0,31,7.895097
40.0,40,7.917605
17.0,17,7.925686
16.0,16,7.933337
58.0,58,7.964402
16.0,16,7.977719
51.0,51,8.001965
64.0,64,8.035868
51.0,51,8.063554
42.0,42,8.089279
39.0,39,8.107866
14.0,14,8.117946
40.0,40,8.137008
31.0,31,8.155223
44.0,44,8.176122
32.0,32,8.196994
30.0,30,8.211289
26.0,26,8.227074
30.0,30,8.241393
21.0,21,8.254817
52.0,52,8.279581
9.0,9,8.289577
39.0,39,8.308179
15.0,15,8.315399
35.0,35,8.335536
74.0,74,8.374264
29.0,29,8.393772
25.0,25,8.405736
18.0,18,8.414366
47.0,47,8.444451
44.0,44,8.471574
32.0,32,8.490307
27.0,27,8.506905
16.0,16,8.514613
23.0,23,8.525585
30.0,30,8.543385
16.0,16,8.551084
30.0,30,8.565404
18.0,18,8.577432
21.0,21,8.587478
28.0,28,8.603119
20.0,20,8.616174
45.0,45,8.637723
13.0,13,8.649132
22.0,22,8.659634
12.0,12,8.66537
19.0,19,8.67443
46.0,46,8.702345
28.0,28,8.719136
28.0,28,8.732496
20.0,20,8.74203
20.0,20,8.755042
16.0,16,8.762709
32.0,32,8.777937
14.0,14,8.788063
46.0,46,8.812203
17.0,17,8.823822
68.0,68,8.864237
28.0,28,8.877635
25.0,25,8.892993
27.0,27,8.908196
