#{"t_start": 1760504751.5958738, "env_id": "CartPole-v1"}
r,l,t
18.0,18,2.048975
22.0,22,2.524138
9.0,9,2.534976
22.0,22,2.650043
17.0,17,2.67603
29.0,29,2.79697
22.0,22,2.91408
29.0,29,3.047426
27.0,27,3.174002
94.0,94,3.563654
38.0,38,3.703172
176.0,176,4.393929
39.0,39,4.540178
183.0,183,5.322266
155.0,155,5.955165
224.0,224,6.837463
296.0,296,8.010893
167.0,167,8.800917
363.0,363,10.336845
500.0,500,12.314928
500.0,500,14.344932
500.0,500,17.965255
500.0,500,19.936352
500.0,500,21.935971
500.0,500,23.980002
500.0,500,25.956062
500.0,500,27.940759
500.0,500,31.61608
500.0,500,33.581671
500.0,500,35.602024
500.0,500,37.503551
500.0,500,39.598522
500.0,500,41.588524
500.0,500,45.099522
500.0,500,47.279184
500.0,500,49.242206
500.0,500,51.310662
500.0,500,53.367907
500.0,500,55.413068
500.0,500,57.601512
