#{"t_start": 1760504751.5993836, "env_id": "CartPole-v1"}
r,l,t
10.0,10,2.03532
38.0,38,2.530324
31.0,31,2.661193
26.0,26,2.778294
16.0,16,2.798335
25.0,25,2.919112
32.0,32,3.058419
32.0,32,3.188448
18.0,18,3.2925
87.0,87,3.594332
178.0,178,4.378208
201.0,201,5.192065
204.0,204,6.059284
275.0,275,7.102028
222.0,222,8.001529
360.0,360,9.597494
271.0,271,10.767813
500.0,500,12.697449
500.0,500,14.726289
500.0,500,18.326881
500.0,500,20.310602
500.0,500,22.345269
500.0,500,24.362322
500.0,500,26.413815
500.0,500,28.31448
500.0,500,32.017303
500.0,500,33.976869
500.0,500,35.950236
500.0,500,37.858275
500.0,500,40.0073
500.0,500,42.009082
500.0,500,45.525152
500.0,500,47.696122
500.0,500,49.631328
500.0,500,51.718058
500.0,500,53.736965
500.0,500,55.8086
