#{"t_start": 1758295698.4328446, "env_id": "None"}
r,l,t
25.0,25,1.107602
55.0,55,1.223608
14.0,14,1.231666
26.0,26,1.249757
14.0,14,1.261281
37.0,37,1.285456
15.0,15,1.293871
21.0,21,1.312498
13.0,13,1.319882
13.0,13,1.330613
12.0,12,1.337355
65.0,65,1.380726
43.0,43,1.414217
16.0,16,1.423215
27.0,27,1.441718
17.0,17,1.451313
45.0,45,1.491943
19.0,19,1.505531
20.0,20,1.52135
14.0,14,1.529214
28.0,28,1.548529
45.0,45,1.580654
16.0,16,1.589517
65.0,65,1.635051
19.0,19,1.649223
28.0,28,1.668351
15.0,15,1.676669
28.0,28,1.695812
14.0,14,1.710173
15.0,15,1.718518
10.0,10,1.724078
22.0,22,1.739865
60.0,60,1.780149
20.0,20,1.791281
18.0,18,1.804907
20.0,20,1.822564
12.0,12,1.829247
39.0,39,1.854424
17.0,17,1.867674
37.0,37,1.88853
21.0,21,1.901684
27.0,27,1.917128
70.0,70,1.959624
10.0,10,1.964462
24.0,24,1.979177
16.0,16,1.986861
23.0,23,2.000931
14.0,14,2.007632
16.0,16,2.020803
62.0,62,2.056354
25.0,25,2.071328
40.0,40,2.093412
15.0,15,2.100601
29.0,29,2.120135
40.0,40,2.146916
19.0,19,2.159631
24.0,24,2.17412
48.0,48,2.200027
13.0,13,2.209284
18.0,18,2.217877
14.0,14,2.232525
24.0,24,2.243986
16.0,16,2.254734
44.0,44,2.278656
13.0,13,2.287931
30.0,30,2.305297
16.0,16,2.312953
12.0,12,2.321725
31.0,31,2.342111
17.0,17,2.350268
13.0,13,2.356488
49.0,49,2.385824
23.0,23,2.399876
29.0,29,2.416685
24.0,24,2.430591
11.0,11,2.439008
13.0,13,2.445237
15.0,15,2.455462
24.0,24,2.466886
17.0,17,2.478076
21.0,21,2.491139
15.0,15,2.49838
26.0,26,2.513798
35.0,35,2.535865
67.0,67,2.573855
19.0,19,2.585974
23.0,23,2.596926
22.0,22,2.610499
42.0,42,2.635972
54.0,54,2.66773
30.0,30,2.685022
11.0,11,2.690316
18.0,18,2.70196
11.0,11,2.707257
33.0,33,2.725991
12.0,12,2.737197
39.0,39,2.758814
15.0,15,2.766005
21.0,21,2.779095
17.0,17,2.788137
17.0,17,2.799415
14.0,14,2.80612
39.0,39,2.830854
40.0,40,2.855562
14.0,14,2.86228
15.0,15,2.872524
18.0,18,2.881132
16.0,16,2.891837
20.0,20,2.901461
11.0,11,2.909846
20.0,20,2.919461
12.0,12,2.928282
42.0,42,2.95378
17.0,17,2.964942
68.0,68,3.00331
26.0,26,3.018714
26.0,26,3.031168
41.0,41,3.059228
30.0,30,3.076601
24.0,24,3.088049
20.0,20,3.100646
22.0,22,3.114201
14.0,14,3.120916
15.0,15,3.131132
24.0,24,3.142604
21.0,21,3.158325
11.0,11,3.163639
29.0,29,3.184933
37.0,37,3.205624
52.0,52,3.23641
35.0,35,3.258855
16.0,16,3.269544
8.0,8,3.273438
14.0,14,3.280177
18.0,18,3.291843
26.0,26,3.312016
