#{"t_start": 1758208634.275931, "env_id": "None"}
r,l,t
32.0,32,2.067075
32.0,32,2.174401
32.0,32,2.278035
14.0,14,2.322891
44.0,44,2.455801
25.0,25,2.533758
19.0,19,2.589364
52.0,52,2.755673
23.0,23,2.839028
17.0,17,2.90118
12.0,12,2.949271
28.0,28,3.068157
12.0,12,3.106037
29.0,29,3.20394
20.0,20,3.274253
50.0,50,3.437151
26.0,26,3.523887
60.0,60,3.72253
12.0,12,3.765073
24.0,24,3.841528
29.0,29,3.940016
14.0,14,3.993689
22.0,22,4.062979
15.0,15,4.115579
20.0,20,4.177874
31.0,31,4.279339
16.0,16,4.333375
33.0,33,4.441892
19.0,19,4.505137
14.0,14,4.549561
32.0,32,4.652013
16.0,16,4.700324
29.0,29,4.786315
25.0,25,4.861686
20.0,20,4.922445
9.0,9,4.94931
22.0,22,5.015369
16.0,16,5.063214
19.0,19,5.124816
31.0,31,5.226034
24.0,24,5.312671
16.0,16,5.374916
28.0,28,5.494885
16.0,16,5.549854
16.0,16,5.600591
16.0,16,5.653759
18.0,18,5.710922
18.0,18,5.773828
22.0,22,5.847888
10.0,10,5.880169
95.0,95,6.188884
15.0,15,6.237661
16.0,16,6.292397
21.0,21,6.359648
14.0,14,6.409259
16.0,16,6.464755
17.0,17,6.524107
9.0,9,6.552073
16.0,16,6.608636
25.0,25,6.690281
15.0,15,6.737459
14.0,14,6.783951
79.0,79,7.040375
21.0,21,7.107663
15.0,15,7.153788
20.0,20,7.215413
19.0,19,7.270038
14.0,14,7.315992
15.0,15,7.35945
29.0,29,7.44847
9.0,9,7.473701
20.0,20,7.538211
29.0,29,7.626204
16.0,16,7.680586
28.0,28,7.785585
50.0,50,7.991796
19.0,19,8.055666
26.0,26,8.140436
16.0,16,8.190846
22.0,22,8.26684
24.0,24,8.346849
10.0,10,8.379146
27.0,27,8.468989
33.0,33,8.581966
10.0,10,8.613608
16.0,16,8.668878
12.0,12,8.707513
13.0,13,8.74871
98.0,98,12.49655
32.0,32,12.592749
63.0,63,12.842687
18.0,18,12.916322
16.0,16,12.967787
14.0,14,13.015878
23.0,23,13.089036
20.0,20,13.157444
22.0,22,13.232718
22.0,22,13.302451
27.0,27,13.392187
22.0,22,13.464771
51.0,51,13.627789
35.0,35,13.745036
14.0,14,13.790313
22.0,22,13.866168
33.0,33,13.971537
44.0,44,14.111654
33.0,33,14.216264
15.0,15,14.265123
14.0,14,14.310672
49.0,49,14.470094
67.0,67,14.676795
44.0,44,14.806959
17.0,17,14.858096
13.0,13,14.895054
15.0,15,14.939155
37.0,37,15.050011
27.0,27,15.144098
18.0,18,15.21351
19.0,19,15.285465
25.0,25,15.397754
13.0,13,15.439227
19.0,19,15.50377
15.0,15,15.551676
18.0,18,15.612474
18.0,18,15.670123
29.0,29,15.769997
21.0,21,15.840668
21.0,21,15.911099
37.0,37,16.031921
36.0,36,16.152222
22.0,22,16.226465
28.0,28,16.323821
40.0,40,16.455895
13.0,13,16.498126
20.0,20,16.564116
31.0,31,16.663407
52.0,52,16.828924
16.0,16,16.882084
14.0,14,16.92541
33.0,33,17.032607
70.0,70,17.241346
39.0,39,17.361173
46.0,46,17.499162
25.0,25,17.585405
28.0,28,17.687923
11.0,11,17.727058
27.0,27,17.849636
56.0,56,18.002199
80.0,80,18.203555
52.0,52,18.350155
38.0,38,18.475324
35.0,35,18.587341
34.0,34,18.692703
40.0,40,18.827614
59.0,59,22.281774
21.0,21,22.351832
56.0,56,22.522698
24.0,24,22.595577
17.0,17,22.645262
17.0,17,22.698434
12.0,12,22.733717
41.0,41,22.855675
18.0,18,22.917645
66.0,66,23.180241
79.0,79,23.435575
126.0,126,23.853649
73.0,73,24.095585
50.0,50,24.265654
49.0,49,24.429458
70.0,70,24.658924
93.0,93,24.956901
36.0,36,25.066196
40.0,40,26.737947
92.0,92,27.03598
73.0,73,27.271464
37.0,37,27.393759
67.0,67,27.596851
33.0,33,27.696018
37.0,37,27.806997
20.0,20,27.867795
16.0,16,27.919594
31.0,31,28.034931
96.0,96,28.394316
22.0,22,28.463462
42.0,42,28.599109
59.0,59,28.795799
90.0,90,29.095707
38.0,38,29.226937
44.0,44,29.370557
17.0,17,29.428851
24.0,24,29.508803
22.0,22,29.579455
89.0,89,29.870814
10.0,10,29.901736
63.0,63,30.094072
46.0,46,30.237653
67.0,67,33.43502
67.0,67,33.652605
75.0,75,33.895086
55.0,55,34.075049
66.0,66,34.292661
39.0,39,34.417203
43.0,43,34.554853
68.0,68,34.771492
60.0,60,34.955522
99.0,99,35.248706
88.0,88,35.542267
64.0,64,35.785507
196.0,196,36.421685
101.0,101,36.756225
86.0,86,37.03052
23.0,23,37.103754
124.0,124,37.486421
30.0,30,37.575195
101.0,101,37.889961
149.0,149,38.428977
19.0,19,38.489043
137.0,137,38.931375
93.0,93,39.236618
147.0,147,39.705502
22.0,22,39.775625
70.0,70,43.000679
158.0,158,43.557198
160.0,160,44.095856
107.0,107,44.445336
46.0,46,44.593996
189.0,189,45.185867
65.0,65,45.402895
170.0,170,46.006664
173.0,173,46.5804
28.0,28,46.671612
103.0,103,47.009293
126.0,126,47.398857
75.0,75,47.62577
406.0,406,49.023138
86.0,86,51.741132
269.0,269,55.616386
148.0,148,56.107165
150.0,150,56.606173
332.0,332,57.625037
171.0,171,58.229288
88.0,88,58.512992
191.0,191,59.134794
145.0,145,59.598846
215.0,215,60.259759
225.0,225,61.043841
163.0,163,61.586027
333.0,333,65.875233
257.0,257,66.717944
165.0,165,67.242887
198.0,198,67.926931
85.0,85,68.206906
168.0,168,68.76967
139.0,139,69.231172
180.0,180,69.811259
187.0,187,70.459985
165.0,165,71.006735
138.0,138,71.469997
230.0,230,75.250442
234.0,234,76.065562
180.0,180,76.65616
331.0,331,81.715237
269.0,269,82.590233
426.0,426,84.021187
212.0,212,84.713226
222.0,222,85.391465
278.0,278,89.174885
179.0,179,89.759029
244.0,244,90.511031
455.0,455,92.033528
433.0,433,93.425291
425.0,425,94.753832
500.0,500,99.181307
327.0,327,100.238048
500.0,500,101.843668
398.0,398,106.591555
349.0,349,107.715103
500.0,500,112.159969
500.0,500,113.773268
500.0,500,115.461273
500.0,500,117.124289
500.0,500,121.635657
500.0,500,123.270842
500.0,500,124.929328
500.0,500,126.583088
500.0,500,131.052952
500.0,500,136.788119
500.0,500,138.357467
500.0,500,140.031844
500.0,500,144.693634
423.0,423,146.051467
388.0,388,147.374835
399.0,399,148.677804
173.0,173,149.251365
108.0,108,149.605588
500.0,500,154.369643
500.0,500,155.983301
265.0,265,156.90098
456.0,456,162.50071
221.0,221,163.180335
500.0,500,167.74076
500.0,500,169.410317
500.0,500,171.029284
500.0,500,172.717474
500.0,500,177.302671
500.0,500,178.954642
500.0,500,180.594159
500.0,500,182.250971
500.0,500,186.872215
500.0,500,192.603491
500.0,500,194.277081
500.0,500,195.864118
500.0,500,197.539912
500.0,500,202.073259
500.0,500,203.6793
500.0,500,205.356208
500.0,500,207.032703
500.0,500,211.666239
500.0,500,213.293175
500.0,500,219.082927
500.0,500,220.70885
500.0,500,225.440333
500.0,500,227.086908
500.0,500,228.587452
500.0,500,230.274908
500.0,500,234.896849
500.0,500,236.557743
500.0,500,238.202859
500.0,500,240.065118
500.0,500,250.865309
500.0,500,252.921554
500.0,500,254.992053
500.0,500,257.044913
500.0,500,262.756348
500.0,500,264.796916
500.0,500,266.782565
500.0,500,268.85877
500.0,500,274.438706
500.0,500,276.500555
500.0,500,283.605575
500.0,500,285.693447
500.0,500,291.180581
500.0,500,293.223183
500.0,500,295.281171
500.0,500,297.288086
500.0,500,302.730485
500.0,500,304.771964
500.0,500,306.793595
500.0,500,308.862961
500.0,500,319.720407
500.0,500,321.770324
500.0,500,323.831051
500.0,500,325.858812
500.0,500,327.897092
500.0,500,333.522258
500.0,500,335.586205
500.0,500,337.601918
500.0,500,339.690145
500.0,500,345.458171
500.0,500,352.657699
