env,algo,num_runs,R_max_mean,R_max_max,R_max_min
CartPole-v1,a2c,810,495.161110998083,500.0,314.8999938964844
CartPole-v1,ppo,1585,500.0,500.0,500.0
Hopper-v4,a2c,2304,585.6495669020546,2730.33447265625,128.43125915527344
Hopper-v4,ppo,5076,1335.158544520866,3652.682861328125,176.47994995117188
LunarLander-v3,a2c,1296,107.64733652329004,265.6954345703125,-708.6655883789062
LunarLander-v3,ppo,1296,230.31079672667036,296.55987548828125,-92.98239135742188
LunarLanderContinuous-v3,a2c,3456,211.99474149169745,300.3346862792969,-8.878515243530273
LunarLanderContinuous-v3,ppo,3840,228.54860038677387,302.6344299316406,-63.3165397644043
