2025-05-22 04:10:39,975 - Episode 64 | Reward: 1.0 | Steps: 119 | Distance: 0.0
2025-05-22 04:10:39,984 - Episode 65 | Reward: 1.0 | Steps: 27 | Distance: 0.0
2025-05-22 04:10:40,000 - Episode 66 | Reward: 1.0 | Steps: 150 | Distance: 0.0
2025-05-22 04:10:40,002 - Episode 67 | Reward: 1.0 | Steps: 8 | Distance: 0.0
2025-05-22 04:10:40,008 - Episode 68 | Reward: 1.0 | Steps: 30 | Distance: 0.0
2025-05-22 04:10:40,023 - Episode 69 | Reward: 1.0 | Steps: 133 | Distance: 0.0
2025-05-22 04:10:40,041 - Episode 70 | Reward: 1.0 | Steps: 172 | Distance: 0.0
2025-05-22 04:10:40,062 - Episode 71 | Reward: 1.0 | Steps: 111 | Distance: 0.0
2025-05-22 04:10:40,083 - Episode 72 | Reward: 1.0 | Steps: 194 | Distance: 0.0
2025-05-22 04:10:40,094 - Episode 73 | Reward: 1.0 | Steps: 148 | Distance: 0.0
2025-05-22 04:10:40,138 - Episode 74 | Reward: 1.0 | Steps: 546 | Distance: 0.0
2025-05-22 04:10:40,168 - Episode 75 | Reward: 1.0 | Steps: 166 | Distance: 0.0
2025-05-22 04:10:40,191 - Episode 76 | Reward: 1.0 | Steps: 36 | Distance: 0.0
2025-05-22 04:10:40,211 - Episode 77 | Reward: 1.0 | Steps: 23 | Distance: 0.0
2025-05-22 04:10:40,284 - Episode 78 | Reward: 1.0 | Steps: 589 | Distance: 0.0
2025-05-22 04:10:40,309 - Episode 79 | Reward: 1.0 | Steps: 292 | Distance: 0.0
2025-05-22 04:10:40,324 - Episode 80 | Reward: 1.0 | Steps: 177 | Distance: 0.0
2025-05-22 04:10:40,345 - Episode 81 | Reward: 1.0 | Steps: 285 | Distance: 0.0
2025-05-22 04:10:40,374 - Episode 82 | Reward: 1.0 | Steps: 230 | Distance: 0.0
2025-05-22 04:10:40,384 - Episode 83 | Reward: 1.0 | Steps: 64 | Distance: 0.0
