#{"t_start": 1758295040.4492667, "env_id": "None"}
r,l,t
25.0,25,1.148812
55.0,55,1.268797
14.0,14,1.276755
26.0,26,1.294775
14.0,14,1.306093
37.0,37,1.330215
15.0,15,1.341064
21.0,21,1.356206
13.0,13,1.363526
13.0,13,1.374228
12.0,12,1.380968
65.0,65,1.424098
43.0,43,1.457532
16.0,16,1.466488
27.0,27,1.485027
17.0,17,1.494548
45.0,45,1.526528
19.0,19,1.537147
20.0,20,1.554112
14.0,14,1.561965
28.0,28,1.581005
45.0,45,1.612989
16.0,16,1.621882
65.0,65,1.66738
19.0,19,1.68154
28.0,28,1.698699
16.0,16,1.706411
16.0,16,1.717208
33.0,33,1.736096
41.0,41,1.763772
29.0,29,1.781163
15.0,15,1.788412
19.0,19,1.800628
35.0,35,1.820509
18.0,18,1.832275
10.0,10,1.837125
17.0,17,1.850776
17.0,17,1.859023
16.0,16,1.869765
29.0,29,1.883732
56.0,56,1.91662
15.0,15,1.926856
37.0,37,1.94773
14.0,14,1.960867
16.0,16,1.97363
70.0,70,2.013032
15.0,15,2.020264
60.0,60,2.058336
14.0,14,2.068653
20.0,20,2.078422
15.0,15,2.088862
14.0,14,2.09571
22.0,22,2.109554
19.0,19,2.121902
24.0,24,2.133982
28.0,28,2.159914
30.0,30,2.186241
19.0,19,2.204677
54.0,54,2.246978
15.0,15,2.257962
20.0,20,2.2703
15.0,15,2.280791
18.0,18,2.292712
42.0,42,2.316275
28.0,28,2.33293
12.0,12,2.338697
14.0,14,2.348453
11.0,11,2.353742
55.0,55,2.388184
17.0,17,2.396305
11.0,11,2.401563
49.0,49,2.4309
23.0,23,2.444902
29.0,29,2.461733
24.0,24,2.475513
11.0,11,2.48396
13.0,13,2.490237
15.0,15,2.500447
24.0,24,2.511906
17.0,17,2.523109
21.0,21,2.536206
15.0,15,2.543417
26.0,26,2.558865
35.0,35,2.58083
67.0,67,2.618794
19.0,19,2.630919
23.0,23,2.641885
22.0,22,2.655449
42.0,42,2.680591
54.0,54,2.712386
30.0,30,2.729695
12.0,12,2.735447
23.0,23,2.749443
19.0,19,2.76154
15.0,15,2.768722
44.0,44,2.794918
30.0,30,2.81223
19.0,19,2.824355
17.0,17,2.835769
18.0,18,2.844428
12.0,12,2.850207
39.0,39,2.87692
28.0,28,2.893599
36.0,36,2.913821
21.0,21,2.923868
27.0,27,2.939764
14.0,14,2.949512
38.0,38,2.970655
29.0,29,2.98987
19.0,19,2.999001
64.0,64,3.03547
22.0,22,3.049028
12.0,12,3.054776
29.0,29,3.07163
37.0,37,3.094989
24.0,24,3.109524
42.0,42,3.132584
17.0,17,3.143732
18.0,18,3.15536
83.0,83,3.203428
39.0,39,3.230624
73.0,73,3.276449
19.0,19,3.288067
28.0,28,3.304932
18.0,18,3.316842
13.0,13,3.323241
19.0,19,3.335652
11.0,11,3.341074
26.0,26,3.356884
17.0,17,3.365218
17.0,17,3.376701
16.0,16,3.386604
9.0,9,3.394117
36.0,36,3.414822
58.0,58,3.448672
16.0,16,3.456349
25.0,25,3.471393
12.0,12,3.477162
15.0,15,3.489456
19.0,19,3.4986
15.0,15,3.508929
16.0,16,3.516599
40.0,40,3.541742
23.0,23,3.5528
24.0,24,3.567356
55.0,55,3.601735
37.0,37,3.62247
27.0,27,3.638373
31.0,31,3.656181
28.0,28,3.67263
42.0,42,3.697722
13.0,13,3.703985
