#{"t_start": 1756059065.8201938, "env_id": "None"}
r,l,t
23.0,23,12.069335
27.0,27,12.113127
15.0,15,12.139573
42.0,42,12.218313
22.0,22,12.249648
17.0,17,12.283404
17.0,17,12.315567
26.0,26,12.352533
67.0,67,12.458318
22.0,22,12.497105
18.0,18,12.526191
34.0,34,12.579219
10.0,10,12.600867
18.0,18,12.628856
13.0,13,12.653695
26.0,26,12.692738
24.0,24,12.735498
23.0,23,12.776157
21.0,21,12.812188
19.0,19,12.843894
34.0,34,12.901796
32.0,32,12.955626
12.0,12,12.975541
32.0,32,13.035989
14.0,14,13.063524
24.0,24,13.101079
20.0,20,13.13516
19.0,19,13.164698
43.0,43,13.233725
13.0,13,13.259507
65.0,65,13.370259
12.0,12,13.390843
18.0,18,13.414544
36.0,36,13.478762
25.0,25,13.529413
17.0,17,13.553965
15.0,15,13.581954
32.0,32,13.639215
37.0,37,13.693983
39.0,39,13.763072
21.0,21,13.799645
25.0,25,13.847694
16.0,16,13.873202
8.0,8,13.884755
26.0,26,13.930492
31.0,31,13.989977
17.0,17,14.022781
15.0,15,14.042534
17.0,17,14.077341
70.0,70,14.195709
13.0,13,14.213706
12.0,12,14.233666
10.0,10,14.253359
13.0,13,14.279153
19.0,19,14.307472
23.0,23,14.347886
24.0,24,14.388603
28.0,28,14.435124
33.0,33,14.487887
20.0,20,14.521183
18.0,18,14.546008
11.0,11,14.574134
21.0,21,14.60437
52.0,52,14.694269
12.0,12,14.715844
24.0,24,14.76462
52.0,52,14.864827
15.0,15,14.892829
16.0,16,14.920069
46.0,46,15.01287
51.0,51,15.094618
17.0,17,15.132077
48.0,48,15.209908
55.0,55,15.300638
17.0,17,15.331503
21.0,21,15.366337
41.0,41,15.43301
54.0,54,15.5306
9.0,9,15.544224
15.0,15,15.56812
9.0,9,15.582599
24.0,24,15.628656
23.0,23,15.671763
69.0,69,15.777907
15.0,15,15.807597
18.0,18,15.833587
16.0,16,15.856725
56.0,56,15.947677
33.0,33,15.993944
30.0,30,16.060323
19.0,19,16.09338
21.0,21,16.128526
26.0,26,16.170744
25.0,25,16.213192
34.0,34,16.273342
76.0,76,16.407284
20.0,20,16.443559
10.0,10,16.470497
19.0,19,16.499285
42.0,42,16.570559
23.0,23,16.607548
17.0,17,16.648258
55.0,55,16.745085
39.0,39,16.805589
25.0,25,16.851636
52.0,52,17.982134
22.0,22,18.018465
21.0,21,18.050972
77.0,77,18.191
44.0,44,18.263298
26.0,26,18.304936
17.0,17,18.331044
37.0,37,18.41403
17.0,17,18.444927
20.0,20,18.476979
29.0,29,18.519622
50.0,50,18.601193
12.0,12,18.625386
11.0,11,18.640497
28.0,28,18.686821
61.0,61,18.796304
13.0,13,18.821732
21.0,21,18.86277
12.0,12,18.884572
11.0,11,18.905773
35.0,35,18.964378
13.0,13,18.981107
30.0,30,19.032379
51.0,51,19.120557
16.0,16,19.152745
17.0,17,19.181318
11.0,11,19.200221
18.0,18,19.242801
33.0,33,19.296212
27.0,27,19.345422
59.0,59,19.445271
93.0,93,19.61221
21.0,21,19.654369
33.0,33,19.708182
53.0,53,19.804598
17.0,17,19.843509
10.0,10,19.862965
12.0,12,19.881908
46.0,46,19.967012
33.0,33,20.020474
12.0,12,20.044088
15.0,15,20.065674
10.0,10,20.079633
26.0,26,20.129272
35.0,35,20.197647
19.0,19,20.237511
103.0,103,20.424829
60.0,60,20.528841
38.0,38,20.597859
40.0,40,20.661162
29.0,29,20.714836
21.0,21,20.750852
10.0,10,20.771484
11.0,11,20.790253
22.0,22,20.830167
12.0,12,20.851277
14.0,14,20.877362
20.0,20,20.907053
27.0,27,20.947167
9.0,9,20.960721
27.0,27,21.00887
21.0,21,21.043705
15.0,15,21.069679
26.0,26,21.115627
52.0,52,21.199032
18.0,18,21.230663
14.0,14,21.254989
34.0,34,21.316716
9.0,9,21.332961
30.0,30,21.392469
47.0,47,21.4693
20.0,20,21.507841
19.0,19,21.541916
19.0,19,21.574724
34.0,34,21.629011
13.0,13,21.654331
