#{"t_start": 1758300310.451668, "env_id": "None"}
r,l,t
25.0,25,1.138093
55.0,55,1.252044
14.0,14,1.260018
26.0,26,1.274346
14.0,14,1.286141
37.0,37,1.306822
15.0,15,1.315068
21.0,21,1.332877
13.0,13,1.340117
13.0,13,1.347364
12.0,12,1.354095
65.0,65,1.393778
38.0,38,1.418487
15.0,15,1.429249
22.0,22,1.445272
32.0,32,1.46312
38.0,38,1.487852
17.0,17,1.497218
19.0,19,1.507847
20.0,20,1.518803
28.0,28,1.540462
45.0,45,1.569468
16.0,16,1.578331
65.0,65,1.61795
19.0,19,1.627374
28.0,28,1.646462
12.0,12,1.652203
53.0,53,1.680823
42.0,42,1.700893
28.0,28,1.717634
14.0,14,1.724364
25.0,25,1.738703
45.0,45,1.763529
12.0,12,1.769313
10.0,10,1.774082
33.0,33,1.793266
11.0,11,1.798662
12.0,12,1.804409
29.0,29,1.821464
42.0,42,1.843798
22.0,22,1.857531
15.0,15,1.864636
41.0,41,1.887683
10.0,10,1.89246
63.0,63,1.925553
18.0,18,1.934103
16.0,16,1.944055
15.0,15,1.951237
14.0,14,1.966073
13.0,13,1.972446
13.0,13,1.978677
19.0,19,1.987703
9.0,9,1.997215
19.0,19,2.006213
31.0,31,2.020916
42.0,42,2.047508
15.0,15,2.05477
35.0,35,2.074679
28.0,28,2.087944
17.0,17,2.096006
11.0,11,2.104596
61.0,61,2.136705
27.0,27,2.151841
28.0,28,2.165151
21.0,21,2.178415
60.0,60,2.210031
16.0,16,2.217587
18.0,18,2.226163
47.0,47,2.253862
22.0,22,2.264342
30.0,30,2.281857
11.0,11,2.287059
35.0,35,2.306939
13.0,13,2.313131
17.0,17,2.321158
20.0,20,2.330647
18.0,18,2.342427
28.0,28,2.357955
9.0,9,2.362276
38.0,38,2.383671
20.0,20,2.393086
30.0,30,2.410625
24.0,24,2.421962
17.0,17,2.43005
45.0,45,2.456865
14.0,14,2.463503
22.0,22,2.473956
23.0,23,2.488182
15.0,15,2.495238
19.0,19,2.504312
12.0,12,2.513365
16.0,16,2.520962
44.0,44,2.541794
20.0,20,2.556842
15.0,15,2.563937
15.0,15,2.571011
16.0,16,2.578652
24.0,24,2.593331
10.0,10,2.598066
43.0,43,2.62172
17.0,17,2.629769
20.0,20,2.639243
28.0,28,2.658061
13.0,13,2.664282
12.0,12,2.669956
11.0,11,2.675243
50.0,50,2.702193
18.0,18,2.710789
22.0,22,2.724539
13.0,13,2.730701
48.0,48,2.756761
15.0,15,2.766133
24.0,24,2.777462
30.0,30,2.79508
10.0,10,2.799838
18.0,18,2.808353
24.0,24,2.82311
14.0,14,2.829856
18.0,18,2.838535
21.0,21,2.849049
13.0,13,2.858608
32.0,32,2.87638
21.0,21,2.88637
18.0,18,2.898344
14.0,14,2.904967
11.0,11,2.910171
26.0,26,2.922485
14.0,14,2.932486
41.0,41,2.952228
15.0,15,2.965447
13.0,13,2.971777
24.0,24,2.983257
12.0,12,2.989009
26.0,26,3.004986
48.0,48,3.028021
26.0,26,3.043695
20.0,20,3.053128
18.0,18,3.061739
20.0,20,3.077046
14.0,14,3.083641
13.0,13,3.089795
13.0,13,3.095987
13.0,13,3.1055
10.0,10,3.11024
29.0,29,3.123828
15.0,15,3.130964
24.0,24,3.145611
52.0,52,3.175662
21.0,21,3.185581
26.0,26,3.197882
14.0,14,3.20787
44.0,44,3.2285
19.0,19,3.240848
28.0,28,3.254003
14.0,14,3.260628
15.0,15,3.267787
45.0,45,3.294975
17.0,17,3.30308
97.0,97,3.355408
25.0,25,3.367245
40.0,40,3.391711
13.0,13,3.397866
99.0,99,3.451164
23.0,23,3.461998
29.0,29,3.481357
12.0,12,3.487089
38.0,38,3.505008
32.0,32,3.523402
24.0,24,3.534745
27.0,27,3.550883
13.0,13,3.557045
38.0,38,3.574949
15.0,15,3.587803
17.0,17,3.595825
15.0,15,3.602924
17.0,17,3.610955
18.0,18,3.622827
30.0,30,3.636897
11.0,11,3.642122
24.0,24,3.656796
25.0,25,3.668533
13.0,13,3.674721
14.0,14,3.687081
23.0,23,3.697919
21.0,21,3.707793
25.0,25,3.722986
11.0,11,3.728212
36.0,36,3.745091
17.0,17,3.756532
14.0,14,3.763158
15.0,15,3.770223
47.0,47,3.798006
23.0,23,3.8088
39.0,39,3.832063
12.0,12,3.837867
30.0,30,3.852344
31.0,31,3.872095
35.0,35,3.891218
50.0,50,3.9188
16.0,16,3.926574
13.0,13,3.936266
17.0,17,3.944436
35.0,35,3.96125
21.0,21,4.20948
12.0,12,4.21537
42.0,42,4.24214
19.0,19,4.252533
14.0,14,4.260242
11.0,11,4.266285
11.0,11,4.27666
14.0,14,4.284345
14.0,14,4.292003
116.0,116,4.365644
29.0,29,4.381416
14.0,14,4.38917
45.0,45,4.419781
19.0,19,4.430287
25.0,25,4.4488
16.0,16,4.457717
20.0,20,4.470575
16.0,16,4.482377
20.0,20,4.491818
16.0,16,4.499347
12.0,12,4.507332
17.0,17,4.518869
18.0,18,4.527524
13.0,13,4.533713
18.0,18,4.542289
21.0,21,4.555696
15.0,15,4.562824
36.0,36,4.583254
9.0,9,4.587573
16.0,16,4.595159
13.0,13,4.60131
39.0,39,4.625443
27.0,27,4.638225
17.0,17,4.6463
16.0,16,4.657263
44.0,44,4.677984
12.0,12,4.687212
25.0,25,4.699009
23.0,23,4.712041
18.0,18,4.724041
14.0,14,4.730781
17.0,17,4.738841
13.0,13,4.745014
26.0,26,4.760736
48.0,48,4.783327
24.0,24,4.798047
15.0,15,4.805142
20.0,20,4.816836
18.0,18,4.828866
13.0,13,4.835071
48.0,48,4.861086
28.0,28,4.87505
19.0,19,4.884254
8.0,8,4.888179
12.0,12,4.897535
26.0,26,4.910027
16.0,16,4.920038
8.0,8,4.923939
18.0,18,4.936164
22.0,22,4.946742
15.0,15,4.953994
18.0,18,4.966203
16.0,16,4.973968
28.0,28,4.987192
31.0,31,5.00869
10.0,10,5.015804
20.0,20,5.025291
35.0,35,5.045371
53.0,53,5.073745
32.0,32,5.088809
42.0,42,5.111979
29.0,29,5.127867
28.0,28,5.144588
38.0,38,5.162461
13.0,13,5.168622
15.0,15,5.179132
11.0,11,5.184378
16.0,16,5.191941
21.0,21,5.201874
44.0,44,5.228305
13.0,13,5.234499
23.0,23,5.248842
32.0,32,5.264001
38.0,38,5.285364
15.0,15,5.292478
15.0,15,5.299569
14.0,14,5.306249
12.0,12,5.315364
14.0,14,5.324242
24.0,24,5.335614
21.0,21,5.348981
22.0,22,5.359397
16.0,16,5.366989
50.0,50,5.394008
30.0,30,5.408107
12.0,12,5.41721
18.0,18,5.427969
11.0,11,5.43324
20.0,20,5.442698
12.0,12,5.451844
122.0,122,5.512663
17.0,17,5.524131
29.0,29,5.540056
22.0,22,5.553956
11.0,11,5.559214
21.0,21,5.569125
27.0,27,5.581851
11.0,11,5.590483
24.0,24,5.601812
32.0,32,5.616961
41.0,41,5.641904
14.0,14,5.648595
29.0,29,5.665739
10.0,10,5.670514
28.0,28,5.683711
17.0,17,5.695146
26.0,26,5.707442
24.0,24,5.718792
21.0,21,5.734334
18.0,18,5.742905
16.0,16,5.750536
15.0,15,5.761074
14.0,14,5.767736
60.0,60,5.799346
9.0,9,5.803676
12.0,12,5.809383
26.0,26,5.821665
29.0,29,5.84099
16.0,16,5.848566
43.0,43,5.872358
43.0,43,5.892596
15.0,15,5.903103
33.0,33,5.91867
54.0,54,5.949738
21.0,21,5.95971
13.0,13,5.969336
36.0,36,5.986309
10.0,10,5.991068
23.0,23,6.005397
36.0,36,6.022362
19.0,19,6.034679
11.0,11,6.042148
23.0,23,6.053029
16.0,16,6.060631
12.0,12,6.06635
13.0,13,6.075935
21.0,21,6.085876
12.0,12,6.091571
10.0,10,6.096341
24.0,24,6.111149
33.0,33,6.126763
59.0,59,6.160149
17.0,17,6.168211
14.0,14,6.178264
48.0,48,6.200911
