env,algo,post_peak_degradation,uncertain
CartPole-v1,a2c,1.0,0.0
CartPole-v1,ppo,1.0,0.0
Hopper-v4,a2c,0.9926215277777778,0.007378472222222222
Hopper-v4,ppo,0.9885416666666667,0.011458333333333333
LunarLander-v3,a2c,0.38657407407407407,0.6134259259259259
LunarLander-v3,ppo,0.9320987654320988,0.06790123456790123
LunarLanderContinuous-v3,a2c,0.8015046296296297,0.19849537037037038
LunarLanderContinuous-v3,ppo,0.8260416666666667,0.17395833333333333
