env,algo,run_id,seed,r_max,r_end,delta_post,s_final,delta_tol,slope_tol,trend_strict,r_max_relaxed,r_end_relaxed,delta_post_relaxed,s_final_relaxed,delta_tol_relaxed,slope_tol_relaxed,trend_relaxed
CartPole-v1,a2c,20251026_041231_485359_pid801061_seed0,0,377.4800048828125,217.20000183105472,-160.2800030517578,-36.37999877929687,-18.87400024414063,3.7748000488281255,post_peak_degradation,342.18600402832027,238.4199981689453,-103.76600585937496,-8.464444647894965,-34.21860040283203,6.843720080566405,post_peak_degradation
CartPole-v1,a2c,20251026_041231_567007_pid801116_seed0,0,464.4400024414063,375.5120022583008,-88.9280001831055,-98.52000122070314,-23.222000122070316,4.644400024414063,post_peak_degradation,437.12600372314455,383.6200256347656,-53.505978088378924,-20.96444430881077,-43.712600372314455,8.742520074462892,post_peak_degradation
CartPole-v1,a2c,20251026_041231_816455_pid801119_seed0,0,500.0,438.4660021972656,-61.533997802734405,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-14.70888943142361,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_041231_837787_pid801113_seed0,0,500.0,455.2699996948242,-44.73000030517579,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-10.84666646321615,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_041232_688232_pid801052_seed0,0,500.0,428.72800018310556,-71.27199981689444,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-4.666666666666667,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_041232_699322_pid801106_seed0,0,500.0,470.0,-30.0,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_041233_168524_pid801066_seed0,0,500.0,463.95,-36.05000000000001,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-16.357777913411457,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_095526_694489_pid868888_seed0,0,413.0399993896485,311.42222188313804,-101.61777750651044,-47.7600006103516,-20.651999969482425,4.130399993896485,post_peak_degradation,401.9039996337891,348.46002197265625,-53.44397766113286,2.48499946594238,-40.190399963378916,8.038079992675783,uncertain
CartPole-v1,a2c,20251026_095543_256308_pid868952_seed0,0,428.1600006103516,339.2885729108538,-88.87142769949776,-28.16000061035163,-21.40800003051758,4.281600006103516,post_peak_degradation,424.66200134277346,416.5,-8.162001342773465,5.323333740234375,-42.46620013427735,8.493240026855469,converged_relaxed
CartPole-v1,a2c,20251026_095605_612611_pid869118_seed0,0,404.43999938964845,321.85110914442276,-82.58889024522568,-99.05999755859375,-20.221999969482425,4.0443999938964845,post_peak_degradation,404.1199981689453,404.44000244140625,0.32000427246094887,-0.35499916076659943,-40.411999816894536,8.082399963378906,converged_relaxed
