env,algo,run_id,seed,r_max_relaxed,r_end_relaxed,delta_post_relaxed,s_final_relaxed,delta_eps_relaxed,slope_eps_relaxed,trend_relaxed
CartPole-v1,a2c,20251026_095631_856244_pid869401_seed0,0,384.34399902343756,319.3600158691406,-64.98398315429694,-20.66999969482422,-38.434399902343756,7.686879980468752,post_peak_degradation
CartPole-v1,a2c,20251026_095658_564712_pid869626_seed0,0,406.7160009765625,250.4199981689453,-156.29600280761719,-16.274999999999995,-40.67160009765625,8.13432001953125,post_peak_degradation
CartPole-v1,a2c,20251026_095658_599695_pid869587_seed0,0,467.9,442.8600158691406,-25.039984130859352,-6.002499771118167,-46.79,9.358,converged_relaxed
CartPole-v1,a2c,20251026_095659_704981_pid869694_seed0,0,353.5999969482422,353.6000061035156,9.155273403393949e-06,3.6600001017252595,-35.359999694824225,7.0719999389648445,converged_relaxed
CartPole-v1,a2c,20251026_095701_678744_pid869624_seed0,0,482.0700012207031,494.82000732421875,12.750006103515659,16.393332926432294,-48.20700012207031,9.641400024414063,uncertain
CartPole-v1,a2c,20251026_095705_816098_pid869731_seed0,0,479.41999999999996,498.5,19.08000000000004,3.822500610351561,-47.942,9.5884,converged_relaxed
CartPole-v1,a2c,20251026_095709_462131_pid869791_seed0,0,500.0,500.0,0.0,1.5533335367838579,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_095714_451930_pid869850_seed0,0,479.41999999999996,498.5,19.08000000000004,3.822500610351561,-47.942,9.5884,converged_relaxed
CartPole-v1,a2c,20251026_095729_220210_pid869968_seed0,0,500.0,500.0,0.0,1.5533335367838579,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_121805_185088_pid907721_seed0,0,419.0,438.29998779296875,19.29998779296875,15.424999999999997,-41.900000000000006,8.38,uncertain
CartPole-v1,a2c,20251026_121805_535089_pid907773_seed0,0,367.3960046386719,377.4800109863281,10.084006347656214,-17.735000610351562,-36.73960046386719,7.347920092773438,uncertain
CartPole-v1,a2c,20251026_121805_607145_pid907806_seed0,0,458.53200073242186,476.72003173828125,18.188031005859386,5.819999694824219,-45.85320007324219,9.170640014648438,converged_relaxed
CartPole-v1,a2c,20251026_121805_609273_pid907808_seed0,0,225.03200134277344,232.51998901367188,7.487987670898434,-11.545000457763663,-22.503200134277346,4.500640026855469,uncertain
CartPole-v1,a2c,20251026_121807_594571_pid907898_seed0,0,225.03200134277344,232.51998901367188,7.487987670898434,-11.545000457763663,-22.503200134277346,4.500640026855469,uncertain
CartPole-v1,a2c,20251026_132103_255313_pid925365_seed0,0,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_172451_357574_pid970712_seed0,0,500.0,490.27996826171875,-9.72003173828125,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_180219_187198_pid982497_seed0,0,500.0,500.0,0.0,-0.9333333333333308,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_180219_219738_pid982501_seed0,0,493.2240008544922,278.67999267578125,-214.54400817871095,-46.813333468967016,-49.322400085449225,9.864480017089845,post_peak_degradation
CartPole-v1,a2c,20251026_180219_224727_pid982493_seed0,0,500.0,500.0,0.0,-15.0,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_180219_238518_pid982500_seed0,0,500.0,500.0,0.0,-6.513333468967011,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_180219_259769_pid982496_seed0,0,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_180219_273298_pid982499_seed0,0,500.0,500.0,0.0,-6.513333468967011,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_180219_284787_pid982498_seed0,0,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_180219_338920_pid982495_seed0,0,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_180526_705900_pid983247_seed0,0,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_180528_944678_pid983253_seed0,0,379.61199707031244,203.13999938964844,-176.471997680664,-27.06444430881076,-37.96119970703125,7.592239941406249,post_peak_degradation
CartPole-v1,a2c,20251026_180530_670514_pid983261_seed0,0,379.61199707031244,203.13999938964844,-176.471997680664,-27.06444430881076,-37.96119970703125,7.592239941406249,post_peak_degradation
CartPole-v1,a2c,20251026_180533_587919_pid983269_seed0,0,470.59999999999997,500.0,29.400000000000034,-3.7311109754774257,-47.06,9.411999999999999,converged_relaxed
CartPole-v1,a2c,20251026_180533_887991_pid983270_seed0,0,374.4259967041016,322.79998779296875,-51.62600891113283,-17.002221679687498,-37.44259967041016,7.488519934082031,post_peak_degradation
CartPole-v1,a2c,20251026_180534_402797_pid983275_seed0,0,487.3399963378906,180.25997924804688,-307.08001708984375,-34.457777913411455,-48.73399963378907,9.746799926757813,post_peak_degradation
CartPole-v1,a2c,20251026_180536_323341_pid983279_seed0,0,487.3399963378906,180.25997924804688,-307.08001708984375,-34.457777913411455,-48.73399963378907,9.746799926757813,post_peak_degradation
CartPole-v1,a2c,20251026_180536_858051_pid983284_seed0,0,447.76000061035154,393.7200012207031,-54.039999389648415,-16.417777845594614,-44.776000061035155,8.955200012207031,post_peak_degradation
CartPole-v1,a2c,20251026_180837_560782_pid983952_seed0,0,500.0,500.0,0.0,-13.804444715711806,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_180840_854277_pid983957_seed0,0,482.24800170898436,500.0,17.75199829101564,-11.488888888888887,-48.22480017089844,9.644960034179688,uncertain
CartPole-v1,a2c,20251026_180844_490683_pid983970_seed0,0,500.0,500.0,0.0,-21.38444417317708,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_180844_951587_pid983974_seed0,0,500.0,488.0,-12.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_180846_107472_pid983976_seed0,0,500.0,500.0,0.0,2.9888890584309897,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_180847_732617_pid983980_seed0,0,500.0,488.0,-12.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_180850_056466_pid983994_seed0,0,500.0,500.0,0.0,2.9888890584309897,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_180853_283374_pid984007_seed0,0,500.0,500.0,0.0,-3.266666327582464,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_181156_745249_pid984747_seed0,0,500.0,500.0,0.0,-21.475555419921875,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_181159_357841_pid984753_seed0,0,473.6339996337891,492.3799743652344,18.7459747314453,-1.2088890923394047,-47.36339996337891,9.472679992675781,converged_relaxed
CartPole-v1,a2c,20251026_181200_361708_pid984760_seed0,0,500.0,500.0,0.0,-21.882222493489582,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_181205_035333_pid984775_seed0,0,336.5919973754883,336.4599914550781,-0.13200592041016534,-2.408888753255212,-33.65919973754883,6.731839947509766,converged_relaxed
CartPole-v1,a2c,20251026_181206_012194_pid984780_seed0,0,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_181207_000006_pid984782_seed0,0,336.5919973754883,336.4599914550781,-0.13200592041016534,-2.408888753255212,-33.65919973754883,6.731839947509766,converged_relaxed
CartPole-v1,a2c,20251026_181207_863321_pid984783_seed0,0,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_181209_719061_pid984794_seed0,0,500.0,500.0,0.0,-12.646666802300343,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_181508_505700_pid985460_seed0,0,500.0,500.0,0.0,-17.971111382378474,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_181508_872873_pid985461_seed0,0,500.0,500.0,0.0,-17.76888902452257,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_181511_056304_pid985466_seed0,0,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_181511_761740_pid985473_seed0,0,451.4479962158203,467.3799743652344,15.931978149414078,-8.242222086588539,-45.14479962158203,9.028959924316407,converged_relaxed
CartPole-v1,a2c,20251026_181515_054691_pid985492_seed0,0,500.0,500.0,0.0,-3.695556131998703,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_181518_521118_pid985505_seed0,0,451.4479962158203,467.3799743652344,15.931978149414078,-8.242222086588539,-45.14479962158203,9.028959924316407,converged_relaxed
