env,algo,converged_relaxed,post_peak_degradation,uncertain
CartPole-v1,a2c,0.19330855018587362,0.22924411400247832,0.5774473358116481
CartPole-v1,ppo,0.9173501577287066,0.04037854889589906,0.04227129337539432
Hopper-v4,a2c,0.1792534722222222,0.1540798611111111,0.6666666666666666
Hopper-v4,ppo,0.07274305555555556,0.28194444444444444,0.6453125
LunarLander-v3,a2c,0.036265432098765434,0.7507716049382716,0.21296296296296297
LunarLander-v3,ppo,0.1095679012345679,0.29552469135802467,0.5949074074074074
LunarLanderContinuous-v3,a2c,0.04050925925925926,0.7387152777777778,0.22077546296296297
LunarLanderContinuous-v3,ppo,0.03046875,0.6604166666666667,0.30911458333333336
