env,algo,run_dir,n_episodes,sigma_intra_full,sigma_intra_late,learning_rate,ent_coef,n_steps
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_041232_699322_pid801106_seed0,889,188.3141326904297,3.989511728286743,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_041233_168524_pid801066_seed0,931,179.28623962402344,109.97821807861328,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_095526_694489_pid868888_seed0,806,126.90044403076172,116.71536254882812,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_095543_256308_pid868952_seed0,555,166.36024475097656,164.64979553222656,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_095605_612611_pid869118_seed0,702,154.41741943359375,147.48553466796875,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_095608_758801_pid869167_seed0,575,182.73675537109375,123.8414535522461,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_095619_024809_pid869290_seed0,661,187.8920135498047,142.2755889892578,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_095619_244554_pid869243_seed0,664,188.07814025878906,140.6905517578125,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_095623_591214_pid869284_seed0,714,147.27581787109375,67.43325805664062,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_095631_856244_pid869401_seed0,712,147.4437255859375,69.0105209350586,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_095658_564712_pid869626_seed0,878,139.4272003173828,34.58091354370117,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_095658_599695_pid869587_seed0,615,165.36849975585938,142.47640991210938,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_095659_704981_pid869694_seed0,677,158.84506225585938,164.94400024414062,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_095701_678744_pid869624_seed0,495,176.6089324951172,134.4146728515625,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_095705_816098_pid869731_seed0,703,175.9059600830078,128.49168395996094,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_095709_462131_pid869791_seed0,581,197.5185546875,168.154296875,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_095714_451930_pid869850_seed0,697,175.25669860839844,128.69566345214844,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_095729_220210_pid869968_seed0,580,197.460693359375,168.26255798339844,,,
