#{"t_start": 1758287295.8850448, "env_id": "None"}
r,l,t
24.0,24,1.38161
17.0,17,1.401505
9.0,9,1.409838
11.0,11,1.419121
31.0,31,1.449733
25.0,25,1.473412
21.0,21,1.497657
15.0,15,1.512641
13.0,13,1.522931
26.0,26,1.547055
29.0,29,1.5762
49.0,49,1.629591
16.0,16,1.645755
20.0,20,1.666606
11.0,11,1.675765
15.0,15,1.693306
16.0,16,1.708937
38.0,38,1.746204
17.0,17,1.761987
36.0,36,1.796976
10.0,10,1.809165
12.0,12,1.818871
24.0,24,1.841796
18.0,18,1.858056
63.0,63,1.920606
14.0,14,1.934815
35.0,35,1.966754
25.0,25,1.992861
11.0,11,2.005911
16.0,16,2.021211
20.0,20,2.038473
39.0,39,2.076004
16.0,16,2.093648
55.0,55,2.146712
59.0,59,2.209217
24.0,24,2.232825
42.0,42,2.27643
19.0,19,2.293293
28.0,28,2.324408
19.0,19,2.341555
24.0,24,2.36444
18.0,18,2.380779
57.0,57,2.437416
27.0,27,2.465003
45.0,45,2.507907
38.0,38,2.545629
26.0,26,2.569333
37.0,37,2.607873
27.0,27,2.632472
13.0,13,2.646557
23.0,23,2.669378
12.0,12,2.679295
23.0,23,2.701646
94.0,94,2.817904
75.0,75,2.921672
85.0,85,3.021691
28.0,28,3.047342
20.0,20,3.068699
73.0,73,3.141928
18.0,18,3.158376
17.0,17,3.174307
20.0,20,3.19553
32.0,32,3.228884
78.0,78,3.30545
19.0,19,3.324511
44.0,44,3.369042
14.0,14,3.379895
25.0,25,3.40384
17.0,17,3.425798
46.0,46,3.468399
29.0,29,3.498088
20.0,20,3.515688
31.0,31,3.548581
62.0,62,3.609594
21.0,21,3.633587
18.0,18,3.650725
15.0,15,3.666085
63.0,63,3.730966
24.0,24,3.754779
57.0,57,3.81361
91.0,91,3.905461
103.0,103,4.008288
70.0,70,4.078965
105.0,105,4.181048
34.0,34,4.212603
84.0,84,4.296403
54.0,54,4.359507
26.0,26,4.386771
38.0,38,4.419876
87.0,87,4.505205
172.0,172,4.68075
117.0,117,4.796261
178.0,178,4.975642
110.0,110,5.083113
69.0,69,5.153941
49.0,49,5.20341
139.0,139,5.349915
24.0,24,5.375795
108.0,108,5.487878
135.0,135,5.630053
29.0,29,5.660837
37.0,37,5.698661
54.0,54,5.757855
170.0,170,5.940134
219.0,219,6.166742
126.0,126,6.296942
78.0,78,6.373672
141.0,141,7.262472
101.0,101,7.360216
125.0,125,7.484716
138.0,138,7.617678
100.0,100,7.71626
171.0,171,7.887158
144.0,144,8.031026
79.0,79,8.107892
119.0,119,8.222222
271.0,271,8.487839
157.0,157,8.644643
165.0,165,8.813646
109.0,109,8.927651
170.0,170,9.110037
144.0,144,9.274977
80.0,80,9.371923
165.0,165,9.555331
168.0,168,9.723325
141.0,141,9.860388
210.0,210,10.066107
302.0,302,10.368655
161.0,161,10.530835
200.0,200,10.722828
102.0,102,10.821837
237.0,237,11.057352
116.0,116,11.168964
58.0,58,11.226902
84.0,84,11.312688
117.0,117,11.429234
121.0,121,11.557901
98.0,98,11.663081
83.0,83,11.751686
