R_max,t_peak,R_end,delta_post,s_final,sigma_final,n_eval,env,algo,run_id,regime
279.75428466796876,2060000.0,263.00921813964845,-16.745066528320308,-0.7041425432477695,4.187395260852876,150,Hopper-v4,a2c,20251110_222250_181240_pid3868778_seed0,plateau
361.06870727539064,2780000.0,341.2507147216797,-19.81799255371095,-0.1520634242466526,9.465654926366561,150,Hopper-v4,a2c,20251110_075808_189614_pid3720350_seed0,plateau
861.5091186523438,3000000.0,670.3325378417969,-191.17658081054685,11.309219796316963,79.56719667442766,150,Hopper-v4,a2c,20251107_201919_777204_pid2994475_seed0,post_peak_degrade
345.806494140625,2120000.0,298.0898498535156,-47.716644287109375,0.09479064941406332,1.0654618894872039,150,Hopper-v4,a2c,20251109_020157_194605_pid3260643_seed0,plateau
385.69798583984374,3000000.0,377.2384167480469,-8.459569091796823,3.8638462611607127,14.196980479915336,150,Hopper-v4,a2c,20251109_214017_687891_pid3608032_seed0,plateau
504.7465759277344,2660000.0,461.0823321533203,-43.6642437744141,-0.13934456961495453,33.040866669412864,150,Hopper-v4,a2c,20251110_000535_012343_pid3639244_seed0,plateau
1205.1168212890625,2940000.0,1001.5943115234375,-203.52250976562505,26.242173549107147,145.59721604212552,150,Hopper-v4,a2c,20251108_102124_312902_pid3130293_seed0,plateau
310.3897216796875,2640000.0,294.957857055664,-15.43186462402349,-0.16061880929129707,5.77576034598335,150,Hopper-v4,a2c,20251109_090937_868825_pid3315209_seed0,plateau
233.1558349609375,2980000.0,223.26718292236328,-9.888652038574236,2.6261468069893965,12.103356572142193,150,Hopper-v4,a2c,20251111_115835_350669_pid3993952_seed0,plateau
1088.5374755859375,2880000.0,974.866882324219,-113.67059326171852,-10.624782017299108,75.57608965591342,150,Hopper-v4,a2c,20251107_225520_883451_pid3020651_seed0,plateau
343.4347839355469,2640000.0,319.24617309570317,-24.188610839843705,1.684781755719866,8.62170045833547,150,Hopper-v4,a2c,20251108_151325_629842_pid3175691_seed0,plateau
169.49916381835936,1440000.0,168.78050933837892,-0.7186544799804437,0.12718680245535754,0.4923710902620752,150,Hopper-v4,a2c,20251111_212423_539508_pid4101729_seed0,plateau
169.49573364257813,2600000.0,168.9572229003906,-0.5385107421875261,0.07169145856584944,0.265802864328134,150,Hopper-v4,a2c,20251112_051150_846793_pid4173382_seed0,plateau
