#{"t_start": 1758290670.4845862, "env_id": "None"}
r,l,t
25.0,25,1.401278
55.0,55,1.44051
14.0,14,1.45012
26.0,26,1.468349
14.0,14,1.477955
21.0,21,1.490973
17.0,17,1.501961
24.0,24,1.523508
46.0,46,1.555971
15.0,15,1.566242
12.0,12,1.57209
77.0,77,1.627386
23.0,23,1.649222
24.0,24,1.663569
24.0,24,1.680507
31.0,31,1.698122
22.0,22,1.714196
23.0,23,1.732901
15.0,15,1.74292
24.0,24,1.759931
28.0,28,1.77616
22.0,22,1.792088
11.0,11,1.800117
14.0,14,1.806919
22.0,22,1.822913
31.0,31,1.846184
49.0,49,1.877804
49.0,49,1.909798
28.0,28,1.928771
12.0,12,1.94044
17.0,17,1.954171
40.0,40,1.984177
64.0,64,2.025803
23.0,23,2.041839
11.0,11,2.050186
72.0,72,2.099865
31.0,31,2.120228
17.0,17,2.134925
15.0,15,2.144746
20.0,20,2.159901
14.0,14,2.169264
23.0,23,2.182952
19.0,19,2.19483
67.0,67,2.237864
12.0,12,2.250578
130.0,130,2.333983
17.0,17,2.344738
26.0,26,2.366997
17.0,17,2.377909
12.0,12,2.38646
50.0,50,2.418197
27.0,27,2.436384
19.0,19,2.448116
38.0,38,2.476171
32.0,32,2.501489
22.0,22,2.517463
60.0,60,2.5568
16.0,16,2.567558
15.0,15,2.577502
19.0,19,2.589257
15.0,15,2.599121
52.0,52,2.634506
22.0,22,2.647708
26.0,26,2.668238
14.0,14,2.674963
61.0,61,2.714643
23.0,23,2.730991
19.0,19,2.743037
39.0,39,2.770041
13.0,13,2.779238
57.0,57,2.817097
62.0,62,2.857496
30.0,30,2.877423
17.0,17,2.891002
20.0,20,2.903529
38.0,38,2.927017
59.0,59,2.969839
88.0,88,3.034681
11.0,11,3.044244
15.0,15,3.055817
67.0,67,3.107642
63.0,63,3.154916
18.0,18,3.16812
30.0,30,3.193263
61.0,61,3.234993
21.0,21,3.247742
70.0,70,3.296697
93.0,93,3.354483
49.0,49,3.388134
35.0,35,3.412863
39.0,39,3.436846
34.0,34,3.458427
38.0,38,3.486717
100.0,100,3.550561
49.0,49,3.58416
23.0,23,3.601146
59.0,59,3.639981
25.0,25,3.657271
26.0,26,3.6724
43.0,43,3.703142
23.0,23,3.716822
23.0,23,3.733142
26.0,26,3.74828
96.0,96,3.812317
20.0,20,3.827238
32.0,32,3.847874
17.0,17,3.858726
49.0,49,3.892375
34.0,34,3.914039
24.0,24,3.928214
57.0,57,3.96605
27.0,27,3.98429
51.0,51,4.018861
110.0,110,4.092233
59.0,59,4.12843
38.0,38,4.154625
27.0,27,4.170246
33.0,33,4.196133
22.0,22,4.209415
32.0,32,4.230016
19.0,19,4.241811
34.0,34,4.263494
25.0,25,4.280815
51.0,51,4.315387
61.0,61,4.355165
78.0,78,4.407927
22.0,22,4.421154
43.0,43,4.449689
22.0,22,4.462918
24.0,24,4.47976
61.0,61,4.519061
61.0,61,4.558768
31.0,31,4.578937
22.0,22,4.594734
58.0,58,4.632586
28.0,28,4.654356
36.0,36,4.676976
45.0,45,4.708659
41.0,41,4.736275
29.0,29,4.752831
35.0,35,4.787159
20.0,20,4.907514
166.0,166,5.01969
35.0,35,5.041831
98.0,98,5.104813
63.0,63,5.147784
81.0,81,5.200024
176.0,176,5.316078
26.0,26,5.336015
27.0,27,5.35435
53.0,53,5.387748
22.0,22,5.401026
55.0,55,5.440127
53.0,53,5.473648
64.0,64,5.51498
69.0,69,5.56345
64.0,64,5.610161
57.0,57,5.653088
16.0,16,5.665098
44.0,44,5.698775
104.0,104,5.776947
36.0,36,5.806143
42.0,42,5.837734
51.0,51,5.878994
40.0,40,5.910385
168.0,168,6.027561
54.0,54,6.06751
88.0,88,6.125249
83.0,83,6.18245
65.0,65,6.228671
27.0,27,6.246846
47.0,47,6.278499
38.0,38,6.305642
79.0,79,6.356149
75.0,75,6.405381
69.0,69,6.451052
64.0,64,6.492411
67.0,67,6.537887
78.0,78,6.590541
35.0,35,6.61265
61.0,61,6.654476
52.0,52,6.687419
51.0,51,6.719837
97.0,97,6.785529
157.0,157,6.903761
64.0,64,6.945316
21.0,21,6.960296
65.0,65,7.006533
40.0,40,7.033766
44.0,44,7.062458
61.0,61,7.102495
49.0,49,7.134143
141.0,141,7.227859
65.0,65,7.272353
135.0,135,7.361313
43.0,43,7.390741
48.0,48,7.422954
31.0,31,7.44396
102.0,102,7.516322
66.0,66,7.55975
84.0,84,7.617374
63.0,63,7.659869
43.0,43,7.691301
26.0,26,7.706465
126.0,126,7.792057
191.0,191,7.922252
101.0,101,7.990977
121.0,121,8.080566
193.0,193,8.209933
86.0,86,8.264518
142.0,142,8.674855
192.0,192,8.807376
180.0,180,8.93224
108.0,108,9.005037
144.0,144,9.10423
284.0,284,9.294703
57.0,57,9.336549
215.0,215,9.484395
114.0,114,9.574229
95.0,95,9.66122
72.0,72,9.710869
111.0,111,9.786791
89.0,89,9.845039
132.0,132,9.931777
197.0,197,10.063101
110.0,110,10.136636
293.0,293,10.329355
125.0,125,10.410451
130.0,130,10.496174
183.0,183,10.618436
178.0,178,10.73517
165.0,165,10.847623
122.0,122,10.924768
41.0,41,10.954531
77.0,77,11.004816
194.0,194,11.132048
198.0,198,11.263122
230.0,230,11.415617
164.0,164,11.523023
53.0,53,11.558481
221.0,221,11.706978
231.0,231,11.858816
121.0,121,11.943329
275.0,275,12.537292
383.0,383,12.792416
296.0,296,13.006329
178.0,178,13.131378
70.0,70,13.17758
143.0,143,13.276212
87.0,87,13.335569
307.0,307,13.553208
147.0,147,13.652578
55.0,55,13.693739
195.0,195,13.844224
101.0,101,13.935568
190.0,190,14.066442
161.0,161,14.175099
182.0,182,14.301139
101.0,101,14.370013
143.0,143,14.467772
229.0,229,14.62113
395.0,395,14.879497
191.0,191,15.004605
144.0,144,15.099253
327.0,327,15.316184
130.0,130,15.404673
102.0,102,15.472101
146.0,146,15.570357
158.0,158,15.674333
160.0,160,15.781219
231.0,231,16.845654
212.0,212,16.986561
130.0,130,17.073369
170.0,170,17.188973
166.0,166,17.300115
213.0,213,17.447471
393.0,393,17.718404
47.0,47,17.750217
372.0,372,18.002712
81.0,81,18.056919
179.0,179,18.190644
285.0,285,18.403803
166.0,166,18.521599
439.0,439,18.811684
500.0,500,19.149204
