#{"t_start": 1758292976.5128756, "env_id": "None"}
r,l,t
25.0,25,1.136719
55.0,55,1.251189
14.0,14,1.258521
26.0,26,1.274384
14.0,14,1.284304
37.0,37,1.30539
15.0,15,1.312716
21.0,21,1.328382
13.0,13,1.334792
13.0,13,1.344215
12.0,12,1.350049
65.0,65,1.388279
43.0,43,1.415539
16.0,16,1.423346
27.0,27,1.44192
17.0,17,1.450231
45.0,45,1.478978
19.0,19,1.488205
20.0,20,1.500989
14.0,14,1.507814
28.0,28,1.524467
45.0,45,1.5547
16.0,16,1.562463
65.0,65,1.599963
19.0,19,1.612265
28.0,28,1.628962
16.0,16,1.63904
16.0,16,1.649897
33.0,33,1.668863
41.0,41,1.691617
29.0,29,1.708674
15.0,15,1.715936
19.0,19,1.728185
35.0,35,1.750447
18.0,18,1.762261
10.0,10,1.767149
17.0,17,1.778404
17.0,17,1.786702
16.0,16,1.797457
29.0,29,1.811487
56.0,56,1.846696
15.0,15,1.856985
37.0,37,1.877731
14.0,14,1.884464
16.0,16,1.895176
70.0,70,1.934686
15.0,15,1.944186
60.0,60,1.986415
14.0,14,1.996445
20.0,20,2.006049
15.0,15,2.016344
14.0,14,2.023081
22.0,22,2.036735
19.0,19,2.05256
24.0,24,2.064118
28.0,28,2.080559
30.0,30,2.098028
19.0,19,2.110202
54.0,54,2.139062
15.0,15,2.151717
20.0,20,2.161272
15.0,15,2.171582
18.0,18,2.183269
42.0,42,2.206437
28.0,28,2.22298
12.0,12,2.228771
14.0,14,2.238538
11.0,11,2.243877
55.0,55,2.278671
17.0,17,2.286839
11.0,11,2.292132
49.0,49,2.321742
23.0,23,2.335844
29.0,29,2.355124
24.0,24,2.366647
11.0,11,2.37506
13.0,13,2.381316
15.0,15,2.391579
24.0,24,2.403079
17.0,17,2.414295
21.0,21,2.427395
15.0,15,2.434623
26.0,26,2.452352
35.0,35,2.472345
67.0,67,2.510416
19.0,19,2.52264
23.0,23,2.533674
22.0,22,2.547295
42.0,42,2.572706
54.0,54,2.604655
30.0,30,2.622072
12.0,12,2.627843
23.0,23,2.641929
19.0,19,2.654095
15.0,15,2.66352
44.0,44,2.687603
30.0,30,2.705027
19.0,19,2.717194
17.0,17,2.728446
18.0,18,2.737081
12.0,12,2.742864
39.0,39,2.769908
28.0,28,2.7864
36.0,36,2.806674
21.0,21,2.816736
27.0,27,2.832779
14.0,14,2.842584
38.0,38,2.866587
29.0,29,2.883601
19.0,19,2.892708
64.0,64,2.92931
22.0,22,2.942938
12.0,12,2.948691
29.0,29,2.969005
37.0,37,2.991753
24.0,24,3.006355
42.0,42,3.02956
17.0,17,3.040839
18.0,18,3.052564
83.0,83,3.100763
39.0,39,3.126826
73.0,73,3.173293
19.0,19,3.182632
28.0,28,3.199233
18.0,18,3.210989
13.0,13,3.21727
19.0,19,3.229478
11.0,11,3.234817
26.0,26,3.250401
17.0,17,3.258602
17.0,17,3.272027
16.0,16,3.279767
9.0,9,3.287246
36.0,36,3.30761
58.0,58,3.341569
16.0,16,3.349307
25.0,25,3.364432
12.0,12,3.372252
15.0,15,3.382651
19.0,19,3.391871
15.0,15,3.402226
16.0,16,3.409996
40.0,40,3.435361
23.0,23,3.4467
24.0,24,3.461343
55.0,55,3.495992
37.0,37,3.516813
27.0,27,3.532871
31.0,31,3.550891
28.0,28,3.567469
42.0,42,3.59283
13.0,13,3.599209
35.0,35,3.619372
28.0,28,3.636199
31.0,31,3.654687
9.0,9,3.662559
12.0,12,3.66847
23.0,23,3.685646
12.0,12,3.691547
15.0,15,3.698825
13.0,13,3.708265
30.0,30,3.725772
32.0,32,3.744249
28.0,28,3.760796
51.0,51,3.790419
18.0,18,3.802233
35.0,35,3.822149
21.0,21,3.835369
9.0,9,3.839786
74.0,74,3.883321
17.0,17,3.894632
20.0,20,3.904289
21.0,21,3.917475
62.0,62,3.953273
27.0,27,3.969343
14.0,14,3.976159
32.0,32,3.996501
13.0,13,4.005933
45.0,45,4.030623
18.0,18,4.042395
27.0,27,4.055439
58.0,58,4.091334
27.0,27,4.107444
20.0,20,4.120177
22.0,22,4.130797
20.0,20,4.143559
62.0,62,4.371798
13.0,13,4.378556
32.0,32,4.400417
14.0,14,4.410666
42.0,42,4.434595
15.0,15,4.445247
13.0,13,4.451577
29.0,29,4.468646
32.0,32,4.487158
11.0,11,4.494487
18.0,18,4.506708
25.0,25,4.522319
18.0,18,4.531299
55.0,55,4.563859
46.0,46,4.589014
14.0,14,4.601025
34.0,34,4.620912
26.0,26,4.63645
28.0,28,4.652955
22.0,22,4.663567
71.0,71,4.705575
27.0,27,4.721636
27.0,27,4.737637
23.0,23,4.751773
19.0,19,4.760933
13.0,13,4.770266
34.0,34,4.789716
49.0,49,4.818097
22.0,22,4.831795
53.0,53,4.863327
44.0,44,4.887578
27.0,27,4.905477
70.0,70,4.945164
15.0,15,4.955448
20.0,20,4.965085
33.0,33,4.98402
17.0,17,4.996519
39.0,39,5.02084
36.0,36,5.041462
23.0,23,5.055614
37.0,37,5.076487
24.0,24,5.091133
37.0,37,5.113748
72.0,72,5.154413
14.0,14,5.164227
17.0,17,5.172415
32.0,32,5.190913
29.0,29,5.212739
21.0,21,5.225948
34.0,34,5.245385
49.0,49,5.271983
18.0,18,5.283753
20.0,20,5.29641
111.0,111,5.360803
28.0,28,5.37732
15.0,15,5.384592
17.0,17,5.395899
20.0,20,5.405665
18.0,18,5.419565
40.0,40,5.446255
33.0,33,5.466644
37.0,37,5.487729
43.0,43,5.516799
41.0,41,5.53961
36.0,36,5.559992
32.0,32,5.578495
24.0,24,5.593218
17.0,17,5.604541
30.0,30,5.621686
11.0,11,5.631535
25.0,25,5.647164
62.0,62,5.684106
48.0,48,5.710947
40.0,40,5.735514
54.0,54,5.767641
75.0,75,5.809751
14.0,14,5.821662
28.0,28,5.838203
32.0,32,5.856653
47.0,47,5.882214
52.0,52,5.913276
99.0,99,5.972366
34.0,34,5.991774
39.0,39,6.013586
31.0,31,6.033599
36.0,36,6.053926
30.0,30,6.0714
38.0,38,6.092718
49.0,49,6.122546
76.0,76,6.167485
29.0,29,6.184492
13.0,13,6.19383
14.0,14,6.200662
34.0,34,6.220061
32.0,32,6.240939
55.0,55,6.27376
24.0,24,6.285302
31.0,31,6.303286
16.0,16,6.314049
25.0,25,6.331407
57.0,57,6.365935
21.0,21,6.37644
15.0,15,6.387084
30.0,30,6.405205
55.0,55,6.437419
23.0,23,6.451868
94.0,94,6.506099
31.0,31,6.524077
26.0,26,6.541759
41.0,41,6.564524
28.0,28,6.581076
26.0,26,6.596681
46.0,46,6.621888
34.0,34,6.644532
24.0,24,6.659688
32.0,32,6.678692
74.0,74,6.721569
45.0,45,6.751495
15.0,15,6.758753
22.0,22,6.772401
27.0,27,6.788457
40.0,40,6.810766
55.0,55,6.845298
16.0,16,6.853039
16.0,16,6.863877
16.0,16,6.871629
27.0,27,6.887713
47.0,47,6.913407
96.0,96,6.970786
92.0,92,7.024158
67.0,67,7.064441
37.0,37,7.088423
32.0,32,7.11002
14.0,14,7.116822
23.0,23,7.130986
13.0,13,7.137281
61.0,61,7.174835
51.0,51,7.205454
22.0,22,7.216078
54.0,54,7.250413
48.0,48,7.279557
31.0,31,7.294428
33.0,33,7.316411
31.0,31,7.331332
99.0,99,7.633267
28.0,28,7.646831
29.0,29,7.667004
13.0,13,7.676414
33.0,33,7.695338
21.0,21,7.705452
51.0,51,7.736055
12.0,12,7.741866
126.0,126,7.816525
26.0,26,7.832135
29.0,29,7.84917
38.0,38,7.872522
38.0,38,7.893833
16.0,16,7.904648
23.0,23,7.919027
29.0,29,7.942129
41.0,41,7.97867
21.0,21,7.998714
61.0,61,8.042603
21.0,21,8.05645
95.0,95,8.114975
29.0,29,8.132203
39.0,39,8.154039
71.0,71,8.196637
15.0,15,8.206995
12.0,12,8.21279
27.0,27,8.228899
72.0,72,8.271539
20.0,20,8.284291
63.0,63,8.320657
18.0,18,8.329325
38.0,38,8.353679
30.0,30,8.373201
96.0,96,8.428498
19.0,19,8.437649
60.0,60,8.474525
23.0,23,8.488725
30.0,30,8.506212
15.0,15,8.513462
24.0,24,8.528263
49.0,49,8.554844
27.0,27,8.570905
30.0,30,8.590451
68.0,68,8.629247
15.0,15,8.639672
10.0,10,8.64452
56.0,56,8.679725
27.0,27,8.695806
19.0,19,8.704949
47.0,47,8.733656
18.0,18,8.742337
81.0,81,8.792509
28.0,28,8.809094
109.0,109,8.870573
46.0,46,8.900864
12.0,12,8.906686
28.0,28,8.923456
62.0,62,8.959843
29.0,29,8.976877
11.0,11,8.982222
19.0,19,8.996529
21.0,21,9.006691
23.0,23,9.021014
105.0,105,9.080786
73.0,73,9.127394
44.0,44,9.15183
12.0,12,9.157668
32.0,32,9.176131
26.0,26,9.193725
21.0,21,9.206938
45.0,45,9.231696
25.0,25,9.246834
49.0,49,9.279909
22.0,22,9.294555
49.0,49,9.331302
65.0,65,9.374723
15.0,15,9.383064
39.0,39,9.410718
41.0,41,9.440548
44.0,44,9.46843
26.0,26,9.486912
27.0,27,9.505343
27.0,27,9.521459
18.0,18,9.530108
37.0,37,9.550951
21.0,21,9.564163
39.0,39,9.585987
73.0,73,9.632452
11.0,11,9.637825
21.0,21,9.650962
15.0,15,9.658235
37.0,37,9.679081
28.0,28,9.695633
49.0,49,9.727641
59.0,59,9.759002
32.0,32,9.777464
35.0,35,9.79738
45.0,45,9.827412
42.0,42,9.850649
23.0,23,9.86477
19.0,19,9.876957
31.0,31,9.891905
23.0,23,9.908308
23.0,23,9.923029
46.0,46,9.948211
36.0,36,9.968535
47.0,47,9.997171
60.0,60,10.033853
18.0,18,10.042482
26.0,26,10.058022
15.0,15,10.068303
31.0,31,10.086222
30.0,30,10.103673
41.0,41,10.128302
57.0,57,10.161672
24.0,24,10.173207
32.0,32,10.19163
55.0,55,10.226146
46.0,46,10.254346
43.0,43,10.278021
37.0,37,10.298861
58.0,58,10.334673
49.0,49,10.361213
50.0,50,10.391288
19.0,19,10.403523
45.0,45,10.43022
67.0,67,10.468538
17.0,17,10.479831
30.0,30,10.497317
29.0,29,10.511254
35.0,35,10.535997
32.0,32,10.55444
25.0,25,10.566483
37.0,37,10.587332
44.0,44,10.949564
37.0,37,10.971051
49.0,49,11.00123
94.0,94,11.054777
14.0,14,11.064606
50.0,50,11.091618
88.0,88,11.145056
28.0,28,11.161662
32.0,32,11.180478
51.0,51,11.211611
31.0,31,11.231695
28.0,28,11.248512
28.0,28,11.262122
26.0,26,11.277684
45.0,45,11.305373
37.0,37,11.326599
39.0,39,11.350317
33.0,33,11.369294
22.0,22,11.383211
56.0,56,11.413685
17.0,17,11.425127
51.0,51,11.457712
104.0,104,11.516666
83.0,83,11.567843
82.0,82,11.616326
24.0,24,11.63122
50.0,50,11.661057
91.0,91,11.714754
13.0,13,11.7241
30.0,30,11.740509
71.0,71,11.783974
65.0,65,11.821209
52.0,52,11.850973
24.0,24,11.865587
15.0,15,11.875862
36.0,36,11.896161
24.0,24,11.907708
77.0,77,11.955592
22.0,22,11.969279
28.0,28,11.982718
18.0,18,11.994413
44.0,44,12.018533
99.0,99,12.076854
24.0,24,12.091473
82.0,82,12.139872
22.0,22,12.152381
80.0,80,12.200111
30.0,30,12.217549
26.0,26,12.233137
69.0,69,12.274146
48.0,48,12.300219
52.0,52,12.33126
86.0,86,12.383507
21.0,21,12.39359
39.0,39,12.418386
48.0,48,12.444515
34.0,34,12.465848
14.0,14,12.475838
33.0,33,12.494748
36.0,36,12.515121
41.0,41,12.53784
22.0,22,12.55149
21.0,21,12.563406
18.0,18,12.575167
35.0,35,12.595093
43.0,43,12.618748
85.0,85,12.670431
28.0,28,12.686948
18.0,18,12.695619
56.0,56,12.728525
49.0,49,12.759858
52.0,52,12.787927
56.0,56,12.820905
123.0,123,12.893809
39.0,39,12.915578
45.0,45,12.943218
26.0,26,12.955718
39.0,39,12.982359
78.0,78,13.025794
34.0,34,13.045166
29.0,29,13.063967
39.0,39,13.085773
28.0,28,13.102273
38.0,38,13.123556
103.0,103,13.190139
59.0,59,13.225196
37.0,37,13.246003
18.0,18,13.257716
126.0,126,13.332114
63.0,63,13.370312
35.0,35,13.390208
50.0,50,13.423476
79.0,79,13.468221
120.0,120,13.539796
34.0,34,13.559157
63.0,63,13.597413
106.0,106,13.657288
78.0,78,13.705534
22.0,22,13.716112
41.0,41,13.741788
39.0,39,13.763543
63.0,63,13.80171
48.0,48,13.827765
62.0,62,13.863501
76.0,76,14.129909
51.0,51,14.157747
24.0,24,14.172354
78.0,78,14.217625
33.0,33,14.236512
32.0,32,14.254955
66.0,66,14.294494
26.0,26,14.310103
56.0,56,14.343124
46.0,46,14.368212
69.0,69,14.412351
19.0,19,14.421514
66.0,66,14.466848
61.0,61,14.524518
18.0,18,14.540952
55.0,55,14.575305
24.0,24,14.595055
103.0,103,14.662843
26.0,26,14.680852
54.0,54,14.719972
60.0,60,14.760391
23.0,23,14.776689
70.0,70,14.818885
68.0,68,14.857781
30.0,30,14.875509
59.0,59,14.913213
22.0,22,14.923847
39.0,39,14.94876
23.0,23,14.959893
63.0,63,14.996302
27.0,27,15.014603
31.0,31,15.032629
52.0,52,15.063816
29.0,29,15.080844
105.0,105,15.142792
36.0,36,15.163138
80.0,80,15.20989
76.0,76,15.255704
32.0,32,15.274187
53.0,53,15.302749
48.0,48,15.334212
56.0,56,15.367299
47.0,47,15.392977
41.0,41,15.417969
38.0,38,15.442633
29.0,29,15.459657
66.0,66,15.497497
21.0,21,15.507642
32.0,32,15.528352
27.0,27,15.544458
101.0,101,15.605837
38.0,38,15.629601
31.0,31,15.647684
60.0,60,15.682627
27.0,27,15.698702
19.0,19,15.710926
39.0,39,15.734994
42.0,42,15.758278
87.0,87,15.809202
22.0,22,15.825077
50.0,50,15.852256
31.0,31,15.870227
96.0,96,15.927734
26.0,26,15.943388
52.0,52,15.974542
72.0,72,16.015259
22.0,22,16.031166
52.0,52,16.059533
48.0,48,16.088912
100.0,100,16.148351
24.0,24,16.162994
30.0,30,16.180457
20.0,20,16.190147
35.0,35,16.21007
35.0,35,16.232191
28.0,28,16.248816
38.0,38,16.270193
57.0,57,16.30374
26.0,26,16.319359
56.0,56,16.354688
56.0,56,16.387788
49.0,49,16.414448
78.0,78,16.460285
56.0,56,16.493396
89.0,89,16.547882
100.0,100,16.60527
43.0,43,16.62904
109.0,109,16.695948
31.0,31,16.713916
31.0,31,16.731915
83.0,83,16.780178
145.0,145,16.867303
37.0,37,16.888155
114.0,114,16.957285
56.0,56,16.987258
