#{"t_start": 1758205921.7256832, "env_id": "None"}
r,l,t
32.0,32,2.046898
32.0,32,2.079834
32.0,32,2.114486
14.0,14,2.128625
44.0,44,2.176593
25.0,25,2.20447
19.0,19,2.223817
52.0,52,2.276218
23.0,23,2.30187
17.0,17,2.319089
12.0,12,2.331138
28.0,28,2.359206
12.0,12,2.371279
29.0,29,2.402682
20.0,20,2.422794
50.0,50,2.472737
26.0,26,2.501014
60.0,60,2.561168
12.0,12,2.573258
24.0,24,2.601617
29.0,29,2.630728
14.0,14,2.644742
22.0,22,2.669616
15.0,15,2.684656
20.0,20,2.709235
31.0,31,2.740307
16.0,16,2.756324
33.0,33,2.789473
19.0,19,2.812533
14.0,14,2.826657
32.0,32,2.858654
16.0,16,2.874697
29.0,29,2.903789
25.0,25,2.93166
20.0,20,2.951679
9.0,9,2.960728
22.0,22,2.982778
16.0,16,2.998817
19.0,19,3.021132
31.0,31,3.052187
24.0,24,3.076175
16.0,16,3.092245
28.0,28,3.122842
16.0,16,3.138836
16.0,16,3.154825
16.0,16,3.170805
18.0,18,3.191293
18.0,18,3.209261
22.0,22,3.234333
10.0,10,3.244324
95.0,95,3.341814
15.0,15,3.356766
16.0,16,3.372751
21.0,21,3.393646
14.0,14,3.407599
16.0,16,3.426132
17.0,17,3.443062
9.0,9,3.452061
16.0,16,3.468021
25.0,25,3.492853
15.0,15,3.507786
14.0,14,3.521712
79.0,79,3.604228
21.0,21,3.625123
15.0,15,3.644036
20.0,20,3.663995
19.0,19,3.682886
14.0,14,3.696802
15.0,15,3.711715
29.0,29,3.744549
9.0,9,3.753544
20.0,20,3.773466
29.0,29,3.802278
16.0,16,3.8182
28.0,28,3.850049
50.0,50,3.901788
19.0,19,3.920796
26.0,26,3.949253
16.0,16,3.965176
22.0,22,3.98703
24.0,24,4.010907
10.0,10,4.020864
27.0,27,4.0505
33.0,33,4.083838
10.0,10,4.094005
16.0,16,4.110247
12.0,12,4.122479
13.0,13,4.135674
66.0,66,6.082163
33.0,33,6.115587
32.0,32,6.15177
51.0,51,6.203165
49.0,49,6.257195
17.0,17,6.274407
23.0,23,6.297638
38.0,38,6.335992
25.0,25,6.365194
16.0,16,6.381437
82.0,82,6.467603
29.0,29,6.49672
23.0,23,6.519738
34.0,34,6.560819
51.0,51,6.611868
38.0,38,6.650039
16.0,16,6.66993
26.0,26,6.695923
38.0,38,6.733897
28.0,28,6.765762
16.0,16,6.781767
22.0,22,6.803838
21.0,21,6.824867
25.0,25,6.849832
21.0,21,6.874813
37.0,37,6.911858
39.0,39,6.95153
27.0,27,6.983276
30.0,30,7.013582
27.0,27,7.040639
15.0,15,7.055678
20.0,20,7.079663
28.0,28,7.107762
29.0,29,7.136762
58.0,58,7.198898
19.0,19,7.218122
27.0,27,7.250934
60.0,60,7.315177
24.0,24,7.339202
33.0,33,7.372708
30.0,30,7.406861
27.0,27,7.434024
57.0,57,7.495374
42.0,42,7.537375
19.0,19,7.556538
25.0,25,7.581621
46.0,46,7.631647
39.0,39,7.670607
41.0,41,7.715956
28.0,28,7.744148
30.0,30,7.774175
12.0,12,7.786206
12.0,12,7.80214
65.0,65,7.867203
19.0,19,7.886292
31.0,31,7.921269
17.0,17,7.938494
16.0,16,7.954597
45.0,45,7.999949
11.0,11,8.015418
27.0,27,8.042686
10.0,10,8.059729
29.0,29,8.088739
19.0,19,8.1078
18.0,18,8.129783
33.0,33,8.162849
85.0,85,9.93612
46.0,46,9.986541
79.0,79,10.065724
36.0,36,10.10574
23.0,23,10.129282
18.0,18,10.148206
13.0,13,10.161604
30.0,30,10.196611
14.0,14,10.210673
13.0,13,10.223833
39.0,39,10.263112
32.0,32,10.301762
35.0,35,10.337084
14.0,14,10.351177
20.0,20,10.371256
18.0,18,10.38925
15.0,15,10.408249
84.0,84,10.492083
73.0,73,10.569727
29.0,29,10.598722
29.0,29,10.631726
37.0,37,10.668762
109.0,109,10.781937
51.0,51,11.629534
31.0,31,11.665082
33.0,33,11.698235
17.0,17,11.715334
22.0,22,11.737485
73.0,73,11.814511
19.0,19,11.833601
38.0,38,11.875728
27.0,27,11.902798
48.0,48,11.951602
61.0,61,12.017721
15.0,15,12.03283
32.0,32,12.068687
34.0,34,12.102766
85.0,85,12.192307
49.0,49,12.241768
47.0,47,12.292825
14.0,14,12.306887
64.0,64,12.370909
61.0,61,12.435886
57.0,57,12.49677
18.0,18,12.514841
18.0,18,12.53298
93.0,93,12.630077
15.0,15,12.645149
79.0,79,12.728541
34.0,34,12.762656
27.0,27,12.789687
106.0,106,14.623395
95.0,95,14.722708
95.0,95,14.823082
50.0,50,14.877901
16.0,16,14.894249
25.0,25,14.919483
131.0,131,15.054677
65.0,65,15.124459
39.0,39,15.163654
76.0,76,15.244332
49.0,49,15.296164
13.0,13,15.309222
95.0,95,15.408256
59.0,59,15.467284
25.0,25,15.49625
103.0,103,15.60315
107.0,107,15.714139
14.0,14,15.728209
49.0,49,15.777283
93.0,93,15.874179
71.0,71,15.952307
118.0,118,16.07513
50.0,50,16.12896
30.0,30,16.159105
229.0,229,16.39629
94.0,94,16.494653
96.0,96,16.594591
43.0,43,16.641405
97.0,97,18.445175
80.0,80,18.53132
131.0,131,18.66669
425.0,425,19.107523
123.0,123,19.240843
133.0,133,19.378888
127.0,127,19.510176
123.0,123,19.637526
45.0,45,19.686469
98.0,98,19.788477
115.0,115,19.907802
189.0,189,20.10485
295.0,295,21.577334
98.0,98,23.162968
272.0,272,23.449096
215.0,215,23.674738
134.0,134,23.817881
410.0,410,24.243822
151.0,151,24.398896
328.0,328,24.744271
129.0,129,24.878119
210.0,210,25.098653
187.0,187,26.902328
290.0,290,27.214697
208.0,208,27.431374
109.0,109,27.548536
162.0,162,27.713373
109.0,109,27.826023
168.0,168,28.001504
240.0,240,28.249689
444.0,444,28.713149
500.0,500,30.87449
296.0,296,31.183826
363.0,363,33.080988
220.0,220,33.310681
221.0,221,33.540998
235.0,235,33.787881
233.0,233,34.028891
97.0,97,34.129956
240.0,240,36.064522
445.0,445,36.528734
500.0,500,37.052009
476.0,476,37.548496
500.0,500,38.068343
358.0,358,40.143911
148.0,148,40.296585
247.0,247,40.553524
216.0,216,40.778124
309.0,309,41.096562
130.0,130,41.2308
264.0,264,42.799195
119.0,119,42.923609
359.0,359,44.997089
251.0,251,45.260662
500.0,500,45.780647
376.0,376,46.173212
249.0,249,46.434415
188.0,188,46.62634
500.0,500,48.858287
500.0,500,49.378559
279.0,279,49.672162
162.0,162,49.838954
418.0,418,50.277066
291.0,291,50.581726
500.0,500,52.80431
500.0,500,54.83962
390.0,390,55.24084
355.0,355,55.612561
500.0,500,56.134953
154.0,154,56.297857
215.0,215,58.098843
500.0,500,58.618921
500.0,500,59.1372
500.0,500,59.659401
500.0,500,61.309148
500.0,500,61.831122
500.0,500,62.356454
500.0,500,64.397381
500.0,500,66.033886
500.0,500,66.557199
500.0,500,67.081515
500.0,500,67.602221
500.0,500,69.241137
500.0,500,69.763787
500.0,500,70.284236
500.0,500,70.804171
500.0,500,72.449221
500.0,500,74.476717
500.0,500,74.996081
500.0,500,75.519066
500.0,500,76.039352
500.0,500,77.963223
500.0,500,78.481148
500.0,500,78.999634
500.0,500,79.522049
500.0,500,81.234194
500.0,500,81.757786
500.0,500,83.784402
500.0,500,84.305645
500.0,500,85.932484
500.0,500,86.452204
500.0,500,86.971552
500.0,500,87.489769
500.0,500,89.121123
500.0,500,89.64186
500.0,500,90.160007
500.0,500,90.68367
500.0,500,93.813962
500.0,500,94.332011
500.0,500,94.855622
500.0,500,95.376672
500.0,500,97.007441
500.0,500,97.525318
500.0,500,98.04528
500.0,500,98.564838
500.0,500,100.201924
500.0,500,100.723671
500.0,500,102.755954
500.0,500,103.282722
500.0,500,105.168179
500.0,500,105.692627
500.0,500,106.21351
500.0,500,106.734203
500.0,500,108.947627
500.0,500,109.462902
500.0,500,109.985531
500.0,500,110.507884
500.0,500,113.995372
500.0,500,114.516807
500.0,500,115.037822
500.0,500,115.558889
500.0,500,116.080545
500.0,500,117.885144
500.0,500,118.409013
500.0,500,118.9305
500.0,500,119.451926
500.0,500,121.091351
500.0,500,123.119635
500.0,500,123.644161
500.0,500,124.165466
500.0,500,126.226775
500.0,500,126.747228
500.0,500,127.270436
500.0,500,127.791056
500.0,500,130.004013
500.0,500,130.52512
500.0,500,131.046747
500.0,500,133.078599
500.0,500,135.286779
500.0,500,135.807161
500.0,500,136.327727
500.0,500,136.853367
500.0,500,139.069689
500.0,500,139.589933
500.0,500,140.11178
500.0,500,140.631716
500.0,500,142.657226
500.0,500,144.686162
500.0,500,145.207634
500.0,500,145.728189
500.0,500,147.377682
500.0,500,147.898807
500.0,500,148.421439
500.0,500,148.94317
500.0,500,150.592954
500.0,500,151.113784
500.0,500,151.634475
500.0,500,153.659237
500.0,500,155.867756
500.0,500,156.387216
500.0,500,156.907261
500.0,500,157.430372
500.0,500,157.950229
500.0,500,160.162671
500.0,500,160.681771
500.0,500,161.200153
500.0,500,161.722898
500.0,500,165.429439
500.0,500,165.951814
500.0,500,166.471773
500.0,500,166.991374
500.0,500,169.05502
500.0,500,169.57473
500.0,500,170.096787
500.0,500,170.617724
500.0,500,172.753792
500.0,500,173.274618
500.0,500,175.305257
500.0,500,175.825893
500.0,500,178.03937
500.0,500,178.559196
500.0,500,179.080041
500.0,500,179.599949
500.0,500,181.809365
500.0,500,182.327138
500.0,500,182.848406
500.0,500,183.370244
500.0,500,187.093768
500.0,500,187.616344
500.0,500,188.137663
500.0,500,188.658152
500.0,500,190.719573
500.0,500,191.241682
500.0,500,191.766889
500.0,500,192.28964
500.0,500,194.458593
500.0,500,194.98265
500.0,500,197.020128
500.0,500,197.542737
500.0,500,199.185657
500.0,500,199.707374
500.0,500,200.231823
500.0,500,200.754433
500.0,500,202.678234
500.0,500,203.201308
500.0,500,203.724031
500.0,500,204.243676
500.0,500,206.285476
