#{"t_start": 1758297783.8312464, "env_id": "None"}
r,l,t
25.0,25,1.285896
55.0,55,1.396262
14.0,14,1.403152
26.0,26,1.418835
14.0,14,1.428749
37.0,37,1.449705
15.0,15,1.456996
21.0,21,1.470258
13.0,13,1.47895
13.0,13,1.495358
12.0,12,1.503089
65.0,65,1.545843
40.0,40,1.568483
26.0,26,1.587422
14.0,14,1.597397
39.0,39,1.619205
29.0,29,1.636153
19.0,19,1.645303
20.0,20,1.658072
14.0,14,1.664888
28.0,28,1.683836
45.0,45,1.711708
16.0,16,1.719423
65.0,65,1.756752
19.0,19,1.76895
28.0,28,1.787694
12.0,12,1.796764
53.0,53,1.829345
42.0,42,1.852546
28.0,28,1.86975
14.0,14,1.87655
37.0,37,1.902439
25.0,25,1.914462
18.0,18,1.926109
12.0,12,1.931884
33.0,33,1.950768
11.0,11,1.95909
12.0,12,1.964824
29.0,29,1.981778
16.0,16,1.991512
13.0,13,2.000785
20.0,20,2.010294
16.0,16,2.020935
14.0,14,2.027633
25.0,25,2.042514
21.0,21,2.055548
19.0,19,2.064619
16.0,16,2.075317
11.0,11,2.080532
22.0,22,2.101138
14.0,14,2.107887
13.0,13,2.119481
27.0,27,2.135335
53.0,53,2.163451
22.0,22,2.177199
14.0,14,2.183871
20.0,20,2.200901
9.0,9,2.205191
31.0,31,2.222918
43.0,43,2.249338
27.0,27,2.262125
16.0,16,2.272742
13.0,13,2.27895
12.0,12,2.287729
32.0,32,2.308006
17.0,17,2.316054
11.0,11,2.324401
24.0,24,2.335742
14.0,14,2.345439
29.0,29,2.362239
19.0,19,2.371205
15.0,15,2.38138
25.0,25,2.39822
10.0,10,2.403031
30.0,30,2.42035
76.0,76,2.462585
27.0,27,2.478403
19.0,19,2.490393
33.0,33,2.511145
14.0,14,2.517778
14.0,14,2.527404
71.0,71,2.566877
17.0,17,2.574914
20.0,20,2.587516
25.0,25,2.604442
34.0,34,2.623652
21.0,21,2.633601
53.0,53,2.664707
24.0,24,2.679161
21.0,21,2.689242
15.0,15,2.69979
39.0,39,2.724349
14.0,14,2.734464
13.0,13,2.740902
32.0,32,2.759398
33.0,33,2.786289
16.0,16,2.797777
18.0,18,2.809582
31.0,31,2.827577
49.0,49,2.85694
19.0,19,2.865996
37.0,37,2.886747
20.0,20,2.899452
19.0,19,2.913969
45.0,45,2.938502
94.0,94,2.992452
32.0,32,3.013276
17.0,17,3.021492
13.0,13,3.030821
18.0,18,3.039456
27.0,27,3.055325
14.0,14,3.065061
25.0,25,3.077062
21.0,21,3.090205
37.0,37,3.110797
15.0,15,3.123323
17.0,17,3.131662
59.0,59,3.166486
22.0,22,3.180519
16.0,16,3.188369
23.0,23,3.202773
16.0,16,3.21374
29.0,29,3.22966
42.0,42,3.255773
16.0,16,3.263636
39.0,39,3.292048
19.0,19,3.304669
20.0,20,3.319755
40.0,40,3.342702
58.0,58,3.377212
17.0,17,3.385488
13.0,13,3.394891
9.0,9,3.399251
13.0,13,3.405467
17.0,17,3.416606
16.0,16,3.426536
22.0,22,3.440119
29.0,29,3.457008
31.0,31,3.474732
15.0,15,3.481924
25.0,25,3.496853
23.0,23,3.510924
58.0,58,3.548308
44.0,44,3.576161
17.0,17,3.59134
19.0,19,3.604879
16.0,16,3.621083
19.0,19,3.636813
34.0,34,3.666378
14.0,14,3.681185
11.0,11,3.687984
59.0,59,3.723642
14.0,14,3.732923
19.0,19,3.745533
16.0,16,3.756517
11.0,11,3.761981
40.0,40,3.784948
64.0,64,3.821747
19.0,19,3.836222
19.0,19,3.845668
19.0,19,3.857898
26.0,26,3.873431
24.0,24,3.887901
13.0,13,3.894212
14.0,14,3.900928
17.0,17,3.912116
20.0,20,3.924921
64.0,64,3.964522
27.0,27,3.977443
22.0,22,3.991024
21.0,21,4.004118
14.0,14,4.010871
17.0,17,4.022065
32.0,32,4.042934
38.0,38,4.064759
84.0,84,4.111668
13.0,13,4.12108
19.0,19,4.130456
30.0,30,4.15031
26.0,26,4.16585
70.0,70,4.205194
14.0,14,4.214936
28.0,28,4.231304
30.0,30,4.251196
29.0,29,4.268566
31.0,31,4.286342
33.0,33,4.305109
39.0,39,4.326724
20.0,20,4.336623
17.0,17,4.350478
49.0,49,4.377068
25.0,25,4.577451
35.0,35,4.598604
