#{"t_start": 1758208472.2246728, "env_id": "None"}
r,l,t
32.0,32,2.080513
32.0,32,2.165408
32.0,32,2.252078
14.0,14,2.287683
44.0,44,2.406976
25.0,25,2.470051
19.0,19,2.521233
52.0,52,2.651286
23.0,23,2.712332
17.0,17,2.755323
12.0,12,2.784528
28.0,28,2.859132
12.0,12,2.888567
29.0,29,2.965855
20.0,20,3.016381
50.0,50,3.149853
26.0,26,3.21489
60.0,60,3.366537
12.0,12,3.394749
24.0,24,3.455145
29.0,29,3.52317
14.0,14,3.559676
22.0,22,3.610527
15.0,15,3.648763
20.0,20,3.69869
31.0,31,3.786209
16.0,16,3.829667
33.0,33,3.938294
19.0,19,4.003194
14.0,14,4.040401
32.0,32,4.126398
16.0,16,4.172171
29.0,29,4.24419
25.0,25,4.311245
20.0,20,4.363118
9.0,9,4.389915
22.0,22,4.44599
16.0,16,4.489608
19.0,19,4.538334
31.0,31,4.620683
24.0,24,4.681882
16.0,16,4.724181
28.0,28,4.801027
16.0,16,4.844929
16.0,16,4.885103
16.0,16,4.92933
18.0,18,4.974391
18.0,18,5.022664
22.0,22,5.077143
10.0,10,5.106292
95.0,95,5.351395
15.0,15,5.388812
16.0,16,5.432655
21.0,21,5.481478
14.0,14,5.517553
16.0,16,5.553349
17.0,17,5.592328
9.0,9,5.61326
16.0,16,5.65379
25.0,25,5.711959
15.0,15,5.751285
14.0,14,5.783453
79.0,79,5.991395
21.0,21,6.05283
15.0,15,6.109996
20.0,20,6.172451
19.0,19,6.224461
14.0,14,6.263068
15.0,15,6.301151
29.0,29,6.379446
9.0,9,6.402686
20.0,20,6.456161
29.0,29,6.53023
16.0,16,6.574817
28.0,28,6.64562
50.0,50,6.783831
19.0,19,6.832053
26.0,26,6.901589
16.0,16,6.942411
22.0,22,7.004811
24.0,24,7.06429
10.0,10,7.093225
27.0,27,7.159911
33.0,33,7.246034
10.0,10,7.270184
16.0,16,7.313796
12.0,12,7.343661
13.0,13,7.375181
66.0,66,10.675825
32.0,32,10.758257
30.0,30,10.836462
41.0,41,10.936633
17.0,17,10.979291
25.0,25,11.046957
16.0,16,11.086161
15.0,15,11.124507
32.0,32,11.212512
68.0,68,11.387972
14.0,14,11.424767
16.0,16,11.468746
91.0,91,11.700942
17.0,17,11.743411
21.0,21,11.798214
23.0,23,11.852077
34.0,34,11.932406
13.0,13,11.965657
17.0,17,12.003742
18.0,18,12.045442
12.0,12,12.077614
22.0,22,12.128253
17.0,17,12.167048
24.0,24,12.227431
119.0,119,12.577367
18.0,18,12.626043
30.0,30,12.705824
29.0,29,12.778435
22.0,22,12.837336
22.0,22,12.893171
31.0,31,12.973961
68.0,68,13.15168
18.0,18,13.197228
14.0,14,13.237091
50.0,50,13.368788
20.0,20,13.422583
25.0,25,13.485648
45.0,45,13.590081
29.0,29,13.667147
21.0,21,13.719641
19.0,19,13.772006
21.0,21,13.827132
16.0,16,13.870965
30.0,30,13.95128
26.0,26,14.010877
12.0,12,14.0422
31.0,31,14.115678
15.0,15,14.154559
24.0,24,14.210352
31.0,31,14.285193
23.0,23,14.338593
39.0,39,14.445344
16.0,16,14.494835
31.0,31,14.5849
46.0,46,14.732038
16.0,16,14.776293
14.0,14,14.812293
16.0,16,14.853796
17.0,17,14.899829
24.0,24,14.962625
37.0,37,15.059036
15.0,15,15.103206
22.0,22,15.160461
54.0,54,15.306743
15.0,15,15.345641
27.0,27,15.416454
29.0,29,15.489955
24.0,24,15.555648
10.0,10,15.580544
22.0,22,15.641375
31.0,31,15.726674
16.0,16,15.766467
32.0,32,15.848616
38.0,38,18.727179
25.0,25,18.789719
18.0,18,18.844688
48.0,48,19.002836
39.0,39,19.105283
49.0,49,19.236204
38.0,38,19.336111
39.0,39,19.434496
35.0,35,19.526571
18.0,18,19.57558
46.0,46,19.69522
23.0,23,19.757595
18.0,18,19.804669
13.0,13,19.840441
91.0,91,20.086335
37.0,37,20.181949
102.0,102,20.44304
34.0,34,20.528119
32.0,32,20.60778
140.0,140,20.947626
25.0,25,21.021583
13.0,13,23.311249
39.0,39,23.418025
81.0,81,23.632176
79.0,79,23.843155
38.0,38,23.94211
45.0,45,24.061345
60.0,60,24.225019
37.0,37,24.317371
15.0,15,24.358426
14.0,14,24.393145
20.0,20,24.445865
31.0,31,24.502423
40.0,40,24.576871
30.0,30,24.637071
19.0,19,24.674168
59.0,59,24.804697
32.0,32,24.887096
62.0,62,25.042695
24.0,24,25.103014
53.0,53,25.228564
25.0,25,25.290521
46.0,46,25.39847
31.0,31,25.474519
97.0,97,25.766247
14.0,14,25.805936
104.0,104,26.073428
42.0,42,28.946758
54.0,54,29.088245
50.0,50,29.211206
29.0,29,29.283125
56.0,56,29.418589
43.0,43,29.520314
67.0,67,29.680569
33.0,33,29.759281
43.0,43,29.87377
121.0,121,30.217459
49.0,49,30.338837
67.0,67,30.508276
79.0,79,30.707616
63.0,63,30.861618
17.0,17,30.907952
81.0,81,31.111207
62.0,62,31.265651
16.0,16,31.307686
103.0,103,31.562749
114.0,114,31.838158
14.0,14,31.870832
101.0,101,32.142394
42.0,42,32.272005
100.0,100,32.529164
80.0,80,32.738272
38.0,38,32.839652
51.0,51,32.976127
107.0,107,33.254175
117.0,117,33.560639
17.0,17,33.608261
84.0,84,33.820534
100.0,100,34.063382
30.0,30,34.141581
26.0,26,37.013499
73.0,73,37.205024
60.0,60,37.363475
140.0,140,37.727072
129.0,129,38.057539
137.0,137,38.388717
39.0,39,38.488548
187.0,187,39.017116
99.0,99,39.275027
96.0,96,39.526781
126.0,126,39.858559
79.0,79,40.064577
85.0,85,40.276676
119.0,119,40.546523
68.0,68,40.729897
14.0,14,40.773079
170.0,170,41.251496
77.0,77,41.452273
43.0,43,41.564471
190.0,190,44.901863
135.0,135,48.06168
99.0,99,48.321784
169.0,169,48.749528
150.0,150,49.12363
196.0,196,49.668101
134.0,134,50.022488
145.0,145,50.403661
139.0,139,50.763654
223.0,223,51.318136
156.0,156,51.753366
84.0,84,51.973305
103.0,103,52.249359
72.0,72,52.438091
