#{"t_start": 1758293633.3903341, "env_id": "None"}
r,l,t
25.0,25,1.283617
55.0,55,1.396037
14.0,14,1.404044
26.0,26,1.421618
14.0,14,1.431508
37.0,37,1.452705
15.0,15,1.460173
21.0,21,1.475997
13.0,13,1.482483
13.0,13,1.491966
12.0,12,1.506977
65.0,65,1.549768
43.0,43,1.580706
16.0,16,1.588592
27.0,27,1.604924
17.0,17,1.613352
45.0,45,1.641616
19.0,19,1.651013
20.0,20,1.663895
14.0,14,1.670907
28.0,28,1.691971
45.0,45,1.724463
16.0,16,1.733599
65.0,65,1.772006
19.0,19,1.786788
28.0,28,1.803614
16.0,16,1.8115
16.0,16,1.822984
33.0,33,1.84222
41.0,41,1.865458
29.0,29,1.885148
15.0,15,1.892658
19.0,19,1.905238
35.0,35,1.925988
18.0,18,1.938107
10.0,10,1.943035
17.0,17,1.954473
17.0,17,1.962823
16.0,16,1.973796
29.0,29,1.990592
56.0,56,2.024123
15.0,15,2.034612
37.0,37,2.055663
14.0,14,2.062567
16.0,16,2.073629
70.0,70,2.126676
15.0,15,2.134153
60.0,60,2.169328
14.0,14,2.179496
20.0,20,2.189185
15.0,15,2.202002
14.0,14,2.208777
22.0,22,2.222587
19.0,19,2.234909
24.0,24,2.246568
28.0,28,2.263169
30.0,30,2.28082
19.0,19,2.293379
54.0,54,2.325071
15.0,15,2.335457
20.0,20,2.345178
15.0,15,2.355515
18.0,18,2.367358
42.0,42,2.390844
28.0,28,2.409843
12.0,12,2.415671
14.0,14,2.425632
11.0,11,2.430997
55.0,55,2.464095
17.0,17,2.472339
11.0,11,2.477751
49.0,49,2.50985
23.0,23,2.52405
29.0,29,2.541126
24.0,24,2.552712
11.0,11,2.561117
13.0,13,2.567441
15.0,15,2.577864
24.0,24,2.589495
17.0,17,2.60309
21.0,21,2.616405
15.0,15,2.623694
26.0,26,2.639431
35.0,35,2.659445
67.0,67,2.697892
19.0,19,2.712511
23.0,23,2.72364
22.0,22,2.737385
42.0,42,2.760755
54.0,54,2.792987
30.0,30,2.812866
12.0,12,2.818707
23.0,23,2.832975
19.0,19,2.845242
15.0,15,2.852513
44.0,44,2.876826
30.0,30,2.894384
19.0,19,2.906665
17.0,17,2.920316
18.0,18,2.929078
12.0,12,2.934948
39.0,39,2.959918
28.0,28,2.97674
36.0,36,2.997281
21.0,21,3.007443
27.0,27,3.02588
14.0,14,3.035801
38.0,38,3.057287
29.0,29,3.074414
19.0,19,3.083918
64.0,64,3.123642
22.0,22,3.137437
12.0,12,3.143285
29.0,29,3.160355
37.0,37,3.181325
24.0,24,3.195967
42.0,42,3.221673
17.0,17,3.233061
18.0,18,3.244844
83.0,83,3.291094
39.0,39,3.322714
73.0,73,3.367305
19.0,19,3.376506
28.0,28,3.393168
18.0,18,3.404999
13.0,13,3.411354
19.0,19,3.425998
11.0,11,3.431374
26.0,26,3.447057
17.0,17,3.455309
17.0,17,3.466684
16.0,16,3.474781
9.0,9,3.482327
36.0,36,3.502838
58.0,58,3.539291
16.0,16,3.54707
25.0,25,3.562265
12.0,12,3.568084
15.0,15,3.578447
19.0,19,3.587663
15.0,15,3.598065
16.0,16,3.605827
40.0,40,3.633629
23.0,23,3.644764
24.0,24,3.65954
55.0,55,3.692324
37.0,37,3.713633
27.0,27,3.732361
31.0,31,3.750477
28.0,28,3.767054
42.0,42,3.790457
13.0,13,3.796757
35.0,35,3.816695
28.0,28,3.835577
31.0,31,3.853748
9.0,9,3.861209
12.0,12,3.867068
23.0,23,3.881279
12.0,12,3.887108
15.0,15,3.894412
13.0,13,3.903805
30.0,30,3.921378
32.0,32,3.942145
28.0,28,3.958799
51.0,51,3.986461
18.0,18,3.998509
35.0,35,4.018875
21.0,21,4.032098
9.0,9,4.038792
74.0,74,4.085574
17.0,17,4.099055
20.0,20,4.108865
21.0,21,4.122198
62.0,62,4.161761
27.0,27,4.177939
14.0,14,4.184715
32.0,32,4.203277
13.0,13,4.212671
45.0,45,4.237532
18.0,18,4.251579
27.0,27,4.264676
58.0,58,4.298899
27.0,27,4.315123
20.0,20,4.327895
22.0,22,4.33854
20.0,20,4.353974
62.0,62,4.587912
13.0,13,4.594736
32.0,32,4.61465
14.0,14,4.624865
42.0,42,4.651343
15.0,15,4.662037
13.0,13,4.668559
29.0,29,4.685966
32.0,32,4.704628
11.0,11,4.710182
18.0,18,4.722346
25.0,25,4.737881
18.0,18,4.746601
55.0,55,4.781632
46.0,46,4.806981
14.0,14,4.816884
34.0,34,4.836418
26.0,26,4.852445
28.0,28,4.87201
22.0,22,4.882735
71.0,71,4.923253
27.0,27,4.939465
27.0,27,4.957877
23.0,23,4.972203
19.0,19,4.981447
13.0,13,4.990901
34.0,34,5.010491
49.0,49,5.037304
22.0,22,5.051111
53.0,53,5.085156
44.0,44,5.113163
27.0,27,5.129663
70.0,70,5.172632
15.0,15,5.183071
20.0,20,5.192773
33.0,33,5.211965
17.0,17,5.223361
39.0,39,5.245346
36.0,36,5.268119
23.0,23,5.282454
37.0,37,5.303489
24.0,24,5.318226
37.0,37,5.33958
72.0,72,5.382907
14.0,14,5.392803
17.0,17,5.401072
32.0,32,5.419712
29.0,29,5.440566
21.0,21,5.453879
34.0,34,5.475854
49.0,49,5.502668
18.0,18,5.514553
20.0,20,5.527323
111.0,111,5.592731
28.0,28,5.609445
15.0,15,5.61677
17.0,17,5.628175
20.0,20,5.637901
18.0,18,5.649736
40.0,40,5.674354
33.0,33,5.69347
37.0,37,5.714485
